#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.40989     1.40989           0
           2      1.4266     1.41824  0.00590837
           3     1.42033     1.41894  0.00397986
           4     1.42279      1.4199  0.00309902
           5     1.43443     1.42281  0.00359166
           6     1.45159      1.4276  0.00530462
           7     1.43695     1.42894  0.00471178
           8      1.4485     1.43138  0.00471461
           9     1.43537     1.43183  0.00421147
          10     1.44956      1.4336  0.00414701
          11     1.44326     1.43448  0.00386179
          12     1.40765     1.43224  0.00413692
          13     1.45543     1.43403  0.00418546
          14     1.43647      1.4342  0.00389013
          15     1.43409     1.43419   0.0036308
          16     1.43989     1.43455  0.00342132
          17     1.44089     1.43492  0.00324031
          18     1.41884     1.43403   0.0031811
          19     1.42331     1.43346  0.00306331
          20     1.44164     1.43387   0.0029373
