#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0311524   0.0311524           0
           2   0.0321332   0.0316428 0.000346765
           3   0.0290428   0.0307761 0.000744435
           4   0.0311432   0.0308679 0.000563954
           5   0.0271056   0.0301154  0.00081025
           6   0.0283256   0.0298171 0.000728054
           7    0.027414   0.0294738 0.000700325
           8   0.0300888   0.0295507 0.000616989
           9   0.0320588   0.0298294 0.000608122
          10   0.0320892   0.0300554   0.0005878
          11   0.0267108   0.0297513 0.000607937
          12   0.0285536   0.0296515 0.000565409
          13   0.0289348   0.0295964 0.000524597
          14   0.0264384   0.0293708 0.000533422
          15   0.0297908   0.0293988 0.000498595
          16   0.0320536   0.0295647 0.000494271
          17   0.0248804   0.0292892 0.000536533
          18    0.029776   0.0293162 0.000507407
          19   0.0324312   0.0294802 0.000506495
          20   0.0280884   0.0294106 0.000485928
