#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3.50839     3.50839           0
           2     3.60823     3.55831   0.0352992
           3     3.54686     3.55449   0.0237385
           4     3.51488     3.54459   0.0197623
           5     3.58058     3.55179   0.0170703
           6     3.63191     3.56514   0.0187344
           7     3.55621     3.56387   0.0161014
           8     3.59581     3.56786   0.0145755
           9     3.57765     3.56895   0.0129965
          10     3.57941     3.56999   0.0117389
          11     3.54352     3.56759   0.0109156
          12     3.62443     3.57232   0.0109859
          13      3.5863      3.5734   0.0101933
          14      3.5245     3.56991   0.0100457
          15     3.55983     3.56923  0.00939843
          16     3.57991      3.5699   0.0088347
          17     3.62494     3.57314   0.0088885
          18     3.57237      3.5731   0.0083948
          19     3.63799     3.57651  0.00861988
          20     3.53884     3.57463  0.00839213
