#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1  0.00565022    0.441423           0
           2  0.00557791    0.438599   0.0019973
           3  0.00558598    0.437867  0.00145929
           4  0.00558413    0.437466  0.00114846
           5  0.00556217    0.436881  0.00105696
           6  0.00550543    0.435753   0.0013552
           7  0.00560043    0.436007  0.00118523
           8  0.00550629    0.435279  0.00124099
           9  0.00557046    0.435269  0.00110314
          10  0.00557107    0.435266 0.000992827
          11  0.00570874    0.436242  0.00129593
          12  0.00556492    0.436118  0.00119381
          13  0.00581273    0.437503  0.00172751
          14  0.00560586    0.437535  0.00160442
          15  0.00557235    0.437389  0.00150412
          16  0.00570783    0.437922  0.00150173
          17  0.00565337    0.438143  0.00142948
          18   0.0056023    0.438117   0.0013503
          19  0.00580473    0.438926  0.00150232
          20  0.00555047    0.438662  0.00145035
