#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.233739    0.233739           0
           2    0.250984    0.242362  0.00609696
           3    0.249691    0.244805  0.00452778
           4     0.22182    0.239059  0.00602453
           5    0.262948    0.243837  0.00644141
           6    0.249889    0.244845  0.00544624
           7    0.239028    0.244014  0.00473118
           8    0.247786    0.244486  0.00416321
           9    0.254233    0.245569  0.00383891
          10    0.237458    0.244758  0.00353966
          11    0.234732    0.243846  0.00333315
          12    0.227206     0.24246  0.00333139
          13    0.228564    0.241391  0.00324208
          14    0.239184    0.241233  0.00301433
          15    0.246342    0.241574  0.00283256
          16    0.229149    0.240797  0.00275991
          17    0.212876    0.239155  0.00304733
          18     0.26646    0.240672  0.00323364
          19    0.263348    0.241865  0.00327631
          20     0.24938    0.242241  0.00313397
