#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.516462   -0.516462           0
           2    -0.51573   -0.516096 0.000258801
           3   -0.515877   -0.516023 0.000182593
           4   -0.517322   -0.516348  0.00031285
           5   -0.516138   -0.516306 0.000253094
           6   -0.515622   -0.516192 0.000235157
           7   -0.516705   -0.516265 0.000212668
           8   -0.516986   -0.516355 0.000204297
           9   -0.516573    -0.51638  0.00018302
          10   -0.516578   -0.516399 0.000165795
          11   -0.517314   -0.516483 0.000170314
          12   -0.516095    -0.51645 0.000159152
          13   -0.515815   -0.516401 0.000154226
          14     -0.5166   -0.516416  0.00014386
          15   -0.515996   -0.516388 0.000136963
          16   -0.517038   -0.516428 0.000134291
          17   -0.516282    -0.51642 0.000126666
          18   -0.516412   -0.516419  0.00011963
          19   -0.516157   -0.516405 0.000114128
          20   -0.516622   -0.516416 0.000108932
