#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.919835    0.919835           0
           2    0.880794    0.900315   0.0138029
           3    0.919565    0.906731   0.0105889
           4    0.886874    0.901767  0.00903071
           5    0.914498    0.904313  0.00757499
           6    0.886875    0.901407  0.00684737
           7    0.858444    0.895269  0.00816917
           8    0.861958    0.891105  0.00814031
           9    0.892399    0.891249   0.0072371
          10    0.905672    0.892691  0.00665556
          11     0.86205    0.889906  0.00660778
          12    0.896272    0.890436  0.00607839
          13    0.800298    0.883503  0.00870974
          14    0.888168    0.883836  0.00809399
          15    0.885148    0.883923  0.00755486
          16     0.87696    0.883488  0.00709521
          17    0.862494    0.882253  0.00678447
          18    0.911411    0.883873  0.00659811
          19    0.931715    0.886391  0.00671413
          20    0.874356    0.885789  0.00640533
