#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.89334     1.89334           0
           2     1.90292     1.89813  0.00338613
           3     1.86041     1.88556   0.0105108
           4     1.88289     1.88489  0.00790416
           5     1.91711     1.89133  0.00855547
           6     1.91903     1.89595  0.00828179
           7     1.89501     1.89582  0.00709977
           8      1.9246     1.89941  0.00706542
           9     1.91959     1.90166  0.00662649
          10     1.93994     1.90548  0.00698261
          11     1.92495     1.90725  0.00656821
          12     1.87502     1.90457  0.00654714
          13     1.92772     1.90635  0.00628112
          14     1.91069     1.90666  0.00584013
          15     1.90207     1.90635   0.0054588
          16      1.8993     1.90591  0.00513538
          17     1.94051     1.90795  0.00522112
          18      1.8733     1.90602  0.00527386
          19      1.8742     1.90435  0.00525552
          20     1.91043     1.90465  0.00500155
