#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.60546     1.60546           0
           2      1.5928     1.59913  0.00447534
           3     1.60045     1.59957  0.00300516
           4     1.60367     1.60059  0.00242255
           5      1.5832     1.59711  0.00366532
           6     1.58832     1.59565  0.00333438
           7     1.57797     1.59312  0.00369306
           8     1.58575      1.5922   0.0033445
           9     1.60297      1.5934  0.00317968
          10      1.5983     1.59389  0.00289928
          11     1.60696     1.59508    0.002869
          12     1.58573      1.5943  0.00273352
          13     1.61339     1.59577   0.0028909
          14     1.57391     1.59421  0.00307706
          15      1.5758     1.59298  0.00310704
          16     1.60125      1.5935  0.00295552
          17     1.59004     1.59329  0.00278866
          18      1.6226     1.59492  0.00307249
          19     1.58276     1.59428  0.00297674
          20      1.5895     1.59404  0.00283747
