#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      5.0515      5.0515           0
           2     4.87746     4.96448   0.0615303
           3     4.82147     4.91681   0.0565482
           4     4.93461     4.92126    0.042586
           5     4.94853     4.92671   0.0344163
           6     4.86253     4.91602   0.0302973
           7     4.97407     4.92431   0.0270803
           8     4.97678     4.93087   0.0244767
           9     5.06303     4.94555   0.0257883
          10     4.98538     4.94954    0.023515
          11     5.03794     4.95757   0.0227092
          12     4.85372     4.94892   0.0224051
          13     4.89494     4.94477   0.0210629
          14     4.94922     4.94508   0.0195608
          15     4.95933     4.94603   0.0182798
          16     5.07847     4.95431   0.0189187
          17     4.95758      4.9545   0.0178068
          18     4.87388     4.95002   0.0173717
          19     4.94574      4.9498   0.0164588
          20     4.92481     4.94855   0.0156832
