#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.576154    0.576154           0
           2    0.556964    0.566559  0.00678497
           3    0.563543    0.565554   0.0045972
           4    0.549545    0.561551  0.00488883
           5    0.581558    0.565553  0.00530134
           6    0.601104    0.571478  0.00698376
           7    0.514319    0.563312  0.00964286
           8    0.581969    0.565644  0.00871493
           9    0.534521    0.562186  0.00840477
          10    0.533924     0.55936  0.00802543
          11    0.508755    0.554759  0.00851291
          12    0.520564     0.55191   0.0082667
          13    0.524896    0.549832  0.00788764
          14    0.536995    0.548915  0.00737734
          15    0.551072    0.549059  0.00688692
          16    0.532668    0.548034  0.00653224
          17     0.49604    0.544976  0.00682655
          18    0.583078    0.547093  0.00676752
          19    0.542208    0.546836  0.00641622
          20    0.587319     0.54886  0.00640674
