#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.703079   -0.703079           0
           2   -0.700368   -0.701724 0.000958554
           3   -0.700912   -0.701453 0.000676135
           4   -0.701816   -0.701544 0.000513153
           5   -0.702027    -0.70164 0.000419531
           6   -0.701891   -0.701682 0.000351684
           7   -0.700701   -0.701542 0.000328205
           8   -0.701376   -0.701521 0.000287835
           9   -0.701076   -0.701472 0.000260071
          10   -0.701662   -0.701491 0.000234756
          11    -0.70237   -0.701571 0.000226624
          12   -0.701246   -0.701544 0.000209352
          13   -0.700329    -0.70145 0.000213088
          14   -0.700684   -0.701395 0.000204775
          15    -0.70051   -0.701336 0.000199458
          16   -0.702609   -0.701416 0.000202224
          17   -0.701582   -0.701426 0.000190566
          18     -0.7007   -0.701385 0.000184195
          19   -0.701776   -0.701406 0.000175643
          20   -0.701113   -0.701391 0.000167472
