#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1  0.00191237    0.382474           0
           2  0.00167189    0.358426   0.0170046
           3   0.0016885    0.351517   0.0126622
           4   0.0016799    0.347633   0.0100748
           5   0.0015971    0.341991  0.00950955
           6  0.00176401    0.343793  0.00809356
           7  0.00166865    0.342355  0.00706384
           8  0.00151672    0.337479  0.00768174
           9  0.00175683    0.339022  0.00698148
          10  0.00169454     0.33901  0.00628334
          11  0.00149378    0.335351  0.00669348
          12  0.00150472    0.332484   0.0067218
          13  0.00173837    0.333652  0.00630549
          14  0.00170465    0.334172  0.00587648
          15   0.0016244    0.333553  0.00551727
          16  0.00168078    0.333715  0.00517484
          17  0.00162834    0.333242  0.00489204
          18  0.00165133    0.333077  0.00462305
          19  0.00154557    0.331815  0.00454851
          20  0.00154289    0.330653  0.00446701
