#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      19.967      19.967           0
           2     18.9798     19.4734    0.349017
           3     19.0969     19.3479    0.254251
           4     19.6082      19.413    0.198839
           5     18.8762     19.3056    0.185803
           6     18.8015     19.2216     0.17279
           7     19.6943     19.2891     0.16076
           8      19.448      19.309    0.141886
           9     18.8766     19.2609    0.134007
          10       18.78     19.2129    0.128948
          11     18.3947     19.1385    0.137009
          12      18.757     19.1067    0.129227
          13     19.0061     19.0989    0.119517
          14     18.0015     19.0206    0.134249
          15     19.3033     19.0394    0.126615
          16     18.7779     19.0231    0.119752
          17     19.9032     19.0748    0.123392
          18     19.4799     19.0973    0.118572
          19     19.0154      19.093    0.112409
          20     19.8535      19.131    0.113037
