#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1      2.1238      2.1238           0
           2     2.13484     2.12932  0.00390242
           3     2.13864     2.13243  0.00363349
           4     2.12534     2.13066  0.00312805
           5     2.11473     2.12747  0.00379198
           6      2.0945     2.12198  0.00592908
           7      2.0928     2.11781  0.00638093
           8     2.09616      2.1151  0.00613012
           9     2.11354     2.11493  0.00545146
          10     2.10668      2.1141   0.0049684
          11     2.13131     2.11567  0.00475667
          12     2.11991     2.11602  0.00437338
          13     2.11231     2.11574  0.00404629
          14     2.09929     2.11456  0.00392415
          15     2.12127     2.11501  0.00368798
          16     2.10209      2.1142  0.00354473
          17     2.08399     2.11242  0.00375532
          18     2.09896     2.11168  0.00362038
          19      2.1275     2.11251  0.00352436
          20     2.12834      2.1133   0.0034359
          21     2.11703     2.11348  0.00327688
          22     2.12088     2.11381  0.00314517
          23      2.1344     2.11471  0.00313313
          24     2.14987     2.11617  0.00332748
          25     2.20848     2.11987  0.00482603
          26     2.21729     2.12361  0.00591892
          27      2.2245     2.12735  0.00677724
          28     2.21503     2.13048   0.0072225
          29     2.21439     2.13337  0.00753072
          30     2.23263     2.13668  0.00797335
          31      2.1997     2.13872  0.00797104
          32     2.18054     2.14002  0.00782836
          33     2.17613     2.14112  0.00766721
          34     2.17144     2.14201  0.00749341
          35      2.1792     2.14307  0.00735428
          36     2.18098     2.14412    0.007225
          37     2.16247     2.14462  0.00704672
          38     2.18273     2.14562  0.00693229
          39     2.24208      2.1481  0.00718221
          40     2.27856     2.15136  0.00770768
          41     2.29317     2.15482  0.00825941
          42     2.33007     2.15899  0.00905563
          43     2.38689     2.16429   0.0102797
          44     2.46207     2.17106     0.01207
          45     2.56707     2.17986    0.014663
          46     2.71982      2.1916    0.018454
          47     2.90379     2.20675   0.0234721
          48     3.09849     2.22533   0.0294308
          49     3.19638     2.24514   0.0348697
          50     3.02709     2.26078   0.0375157
