#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59603     1.59603           0
           2     1.59622     1.59613 6.81284e-05
           3      1.5959     1.59605 7.65715e-05
           4     1.59609     1.59606 5.80558e-05
           5     1.59631     1.59611 6.43208e-05
           6     1.59616     1.59612 5.41162e-05
           7     1.59651     1.59618 6.95222e-05
           8      1.5957     1.59612 8.21943e-05
           9     1.59584     1.59609 7.85586e-05
          10     1.59678     1.59616 9.69156e-05
          11     1.59521     1.59607 0.000120557
          12     1.59671     1.59612 0.000121868
          13     1.59636     1.59614 0.000113819
          14     1.59635     1.59616   0.0001067
          15     1.59574     1.59613 0.000103081
          16     1.59674     1.59617 0.000103432
          17     1.59646     1.59618 9.87837e-05
          18     1.59633     1.59619  9.3621e-05
          19     1.59622     1.59619 8.87077e-05
          20     1.59656     1.59621 8.61126e-05
          21      1.5958     1.59619 8.42227e-05
          22      1.5963      1.5962 8.05366e-05
          23     1.59592     1.59618 7.79552e-05
          24     1.59544     1.59615  8.0595e-05
          25     1.59605     1.59615 7.74864e-05
          26     1.59557     1.59613 7.76636e-05
          27     1.59625     1.59613 7.49267e-05
          28       1.596     1.59613 7.24024e-05
          29     1.59598     1.59612 7.00814e-05
          30     1.59565     1.59611 6.95141e-05
          31      1.5965     1.59612 6.84145e-05
          32      1.5958     1.59611 6.69791e-05
          33     1.59635     1.59612 6.53332e-05
          34     1.59567      1.5961 6.47235e-05
          35     1.59672     1.59612 6.52225e-05
          36     1.59532      1.5961 6.71224e-05
          37     1.59673     1.59612 6.74673e-05
          38     1.59564      1.5961 6.68256e-05
          39     1.59552     1.59609 6.67377e-05
          40     1.59554     1.59607 6.64751e-05
          41     1.59555     1.59606 6.60743e-05
          42     1.59475     1.59603  7.1537e-05
          43      1.5941     1.59599 8.27195e-05
          44     1.59357     1.59593 9.73178e-05
          45     1.59301     1.59587 0.000114811
          46     1.59082     1.59576 0.000156107
          47     1.58993     1.59563 0.000195913
          48      1.5896     1.59551   0.0002286
          49     1.59275     1.59545 0.000230762
          50     1.59112     1.59536 0.000241852
