#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         168     1.90701     1.97422  0.00288208
         169     1.92564     1.97394  0.00287933
         170     1.93233     1.97369  0.00287277
         171     1.92941     1.97343  0.00286762
         172     1.93731     1.97322  0.00285863
         173     1.91138     1.97286  0.00286436
         174     1.95928     1.97279  0.00284896
         175     1.95978     1.97271  0.00283365
         176     1.96453     1.97267  0.00281793
         177     1.98381     1.97273  0.00280272
         178     2.04645     1.97314   0.0028174
         179     2.02882     1.97345  0.00281878
         180     1.99272     1.97356  0.00280516
         181     1.98732     1.97364  0.00279069
         182     2.03579     1.97398  0.00279617
         183      2.0496     1.97439  0.00281127
         184     2.00457     1.97456  0.00280077
         185     1.97992     1.97458  0.00278578
         186     1.99502     1.97469  0.00277297
         187     1.98276     1.97474  0.00275847
         188     1.96287     1.97467  0.00274452
         189     1.94038     1.97449  0.00273599
         190     1.93378     1.97428  0.00272997
         191     1.93838     1.97409  0.00272214
         192       1.992     1.97418  0.00270956
         193     2.00207     1.97433  0.00269937
         194     1.99658     1.97444  0.00268789
         195     1.98501      1.9745  0.00267465
         196     1.97299     1.97449  0.00266102
         197     1.96326     1.97443  0.00264812
         198     1.96525     1.97439  0.00263515
         199     1.95566     1.97429  0.00262359
         200     1.97252     1.97428  0.00261048
         201     1.96614     1.97424  0.00259781
         202      1.9432     1.97409  0.00258949
         203     1.93542      1.9739  0.00258373
         204     1.95032     1.97378  0.00257365
         205     1.96784     1.97375  0.00256126
         206     1.97546     1.97376  0.00254884
         207     1.99668     1.97387  0.00253893
         208     1.98323     1.97392  0.00252712
         209     1.94581     1.97378  0.00251861
         210     1.92739     1.97356  0.00251628
         211     1.94641     1.97343  0.00250765
         212      1.9649     1.97339  0.00249614
         213     1.94002     1.97324  0.00248934
         214     1.91482     1.97296  0.00249263
         215      1.8913     1.97258  0.00250981
         216     1.89842     1.97224  0.00252157
         217     1.95272     1.97215  0.00251155
         218     1.98566     1.97221  0.00250079
         219     1.99809     1.97233  0.00249216
         220     1.98111     1.97237  0.00248115
         221     1.98341     1.97242  0.00247043
         222     1.95056     1.97232  0.00246126
         223     1.96624      1.9723  0.00245038
         224      1.9773     1.97232  0.00243954
         225     1.98003     1.97235  0.00242894
         226     1.98351      1.9724  0.00241869
         227     2.00222     1.97253   0.0024116
         228     2.00705     1.97268  0.00240577
         229     2.01668     1.97288  0.00240293
         230     1.99175     1.97296  0.00239388
         231     1.99116     1.97304  0.00238481
         232     1.99052     1.97311  0.00237573
         233     1.99131     1.97319  0.00236681
         234      1.9827     1.97323  0.00235705
         235     1.97837     1.97325  0.00234712
         236     1.98554      1.9733  0.00233775
         237     1.99094     1.97338  0.00232907
         238     1.98043     1.97341  0.00231947
         239     1.97912     1.97343  0.00230989
         240     1.98556     1.97348  0.00230082
         241     1.98607     1.97354  0.00229186
         242     1.98617     1.97359  0.00228299
         243     1.98007     1.97361  0.00227375
         244     1.99996     1.97372  0.00226699
         245     2.02812     1.97394  0.00226859
         246     2.02188     1.97414  0.00226772
         247     2.01226     1.97429  0.00226378
         248     2.01319     1.97445  0.00226008
         249     2.01051      1.9746  0.00225564
         250     1.98443     1.97463  0.00224696
         251     2.01862     1.97481  0.00224483
         252     2.04314     1.97508  0.00225224
         253     2.04483     1.97536  0.00226014
         254     2.03781      1.9756  0.00226458
         255      2.0317     1.97582  0.00226636
         256      2.0292     1.97603  0.00226708
         257     2.03143     1.97625  0.00226848
         258     2.00511     1.97636  0.00226245
         259     1.99284     1.97642  0.00225461
         260     1.98076     1.97644    0.002246
         261     1.96206     1.97638  0.00223807
         262     1.97769     1.97639  0.00222953
         263     1.97757     1.97639  0.00222106
         264      1.9569     1.97632  0.00221387
         265     1.96426     1.97627  0.00220598
         266     2.02797     1.97647  0.00220624
         267      2.0432     1.97672  0.00221209
         268      2.0469     1.97698  0.00221928
         269     2.06078     1.97729  0.00223279
         270     2.05982      1.9776  0.00224534
         271     2.01689     1.97774  0.00224173
         272     2.02318     1.97791  0.00223971
         273     2.02322     1.97808  0.00223765
         274     1.99521     1.97814  0.00223035
         275     1.96003     1.97807  0.00222321
         276     1.93807     1.97793  0.00221988
         277     1.94188      1.9778  0.00221567
         278     1.95725     1.97772  0.00220894
         279     1.94065     1.97759  0.00220501
         280     1.91986     1.97738  0.00220676
         281     1.92669      1.9772  0.00220627
         282     1.94588     1.97709  0.00220124
         283     1.97286     1.97708  0.00219351
         284      2.0294     1.97726  0.00219351
         285     2.02239     1.97742  0.00219152
         286     1.99035     1.97747  0.00218432
         287     1.95653     1.97739  0.00217793
         288     1.96478     1.97735  0.00217081
         289     1.97586     1.97734   0.0021633
         290     1.99113     1.97739  0.00215636
         291     1.96496     1.97735  0.00214938
         292     1.91356     1.97713  0.00215309
         293     1.91422     1.97691  0.00215642
         294     1.91344      1.9767  0.00215986
         295     1.94297     1.97658  0.00215556
         296     1.94842     1.97649  0.00215038
         297     1.95995     1.97643  0.00214386
         298     1.99508      1.9765  0.00213758
         299     2.01828     1.97664  0.00213499
         300     1.99919     1.97671   0.0021292
         301     2.00428      1.9768   0.0021241
         302      1.9834     1.97682  0.00211717
         303     2.00068      1.9769  0.00211165
         304     2.01551     1.97703  0.00210852
         305     2.05034     1.97727  0.00211526
         306     2.03998     1.97748  0.00211825
         307     2.04674      1.9777  0.00212334
         308     2.02102     1.97784   0.0021211
         309     2.02685       1.978  0.00212015
         310     1.97972     1.97801  0.00211332
         311     1.99309     1.97805  0.00210708
         312     2.01753     1.97818  0.00210412
         313     2.02383     1.97833  0.00210245
         314     1.99251     1.97837  0.00209624
         315     1.97382     1.97836  0.00208963
         316     1.94789     1.97826  0.00208524
         317     1.91969     1.97808  0.00208684
         318     1.92181      1.9779  0.00208776
         319     1.92362     1.97773  0.00208814
         320     1.97412     1.97772  0.00208165
         321     1.99005     1.97776  0.00207551
         322     1.99946     1.97782  0.00207016
         323     1.95833     1.97776  0.00206463
         324     1.93033     1.97762  0.00206344
         325     1.94509     1.97752  0.00205952
         326     1.97647     1.97751  0.00205321
         327     1.97065     1.97749  0.00204703
         328     1.95329     1.97742  0.00204212
         329     1.92331     1.97725  0.00204253
         330     1.91967     1.97708  0.00204378
         331     1.94395     1.97698  0.00204005
         332       1.936     1.97686  0.00203764
         333     1.89573     1.97661  0.00204603
         334     1.90219     1.97639    0.002052
         335     1.93284     1.97626  0.00204999
         336     1.92699     1.97611  0.00204913
         337      1.9403     1.97601   0.0020458
         338     1.93004     1.97587  0.00204426
         339     1.92297     1.97572  0.00204418
         340     1.91811     1.97555  0.00204518
         341     1.91915     1.97538  0.00204586
         342     1.90901     1.97519  0.00204906
         343     1.90444     1.97498  0.00205344
         344     1.91127      1.9748   0.0020558
         345      1.8951     1.97456  0.00206278
         346     1.88813     1.97431  0.00207189
         347     1.86669       1.974  0.00208901
         348     1.86971      1.9737  0.00210439
         349     1.87736     1.97343  0.00211639
         350     1.89465      1.9732  0.00212228
         351     1.90895     1.97302  0.00212411
         352     1.95254     1.97296  0.00211887
         353     1.98412     1.97299  0.00211311
         354       1.973     1.97299  0.00210714
         355     1.94594     1.97292  0.00210258
         356     1.93029      1.9728  0.00210008
         357     1.92908     1.97268  0.00209776
         358     1.95093     1.97261  0.00209278
         359     1.96494     1.97259  0.00208706
         360     1.97285     1.97259  0.00208127
         361     1.97011     1.97259  0.00207551
         362     1.97973     1.97261  0.00206987
         363     1.99408     1.97267  0.00206502
         364     1.97274     1.97267  0.00205934
         365     1.97713     1.97268  0.00205374
         366     1.94732     1.97261  0.00204929
         367     1.93767     1.97251  0.00204592
         368     1.96221     1.97249  0.00204055
         369     1.97663      1.9725  0.00203505
         370     2.00855     1.97259  0.00203188
         371      1.9984     1.97266   0.0020276
         372     1.98127     1.97269  0.00202228
         373     1.96116     1.97266  0.00201709
         374     1.98277     1.97268  0.00201188
         375     1.97398     1.97269  0.00200652
         376      1.9708     1.97268  0.00200119
         377     1.95818     1.97264  0.00199625
         378     1.94548     1.97257  0.00199226
         379     1.94839     1.97251  0.00198803
         380     1.91304     1.97235  0.00198895
         381     1.90529     1.97218   0.0019915
         382     1.91957     1.97204  0.00199104
         383     1.94394     1.97196  0.00198719
         384     1.94506     1.97189  0.00198325
         385     1.91637     1.97175  0.00198334
         386      1.8658     1.97148   0.0019971
         387     1.84695     1.97115   0.0020177
         388     1.86354     1.97088  0.00203147
         389     1.91414     1.97073  0.00203148
         390     1.96156     1.97071   0.0020264
         391     1.95155     1.97066  0.00202181
         392     1.95209     1.97061  0.00201721
         393     1.96099     1.97059  0.00201223
         394     1.94815     1.97053  0.00200792
         395     1.94312     1.97046  0.00200404
         396     1.93525     1.97037  0.00200095
         397     1.94293      1.9703   0.0019971
         398     1.92304     1.97018  0.00199561
         399     1.91727     1.97005  0.00199501
         400     1.93179     1.96995  0.00199232
         401     1.95143     1.96991  0.00198788
         402     1.95466     1.96987   0.0019833
         403     1.93569     1.96979  0.00198019
         404     1.90982     1.96964  0.00198085
         405     1.92477     1.96953  0.00197905
         406     1.95348     1.96949  0.00197457
         407     1.98662     1.96953  0.00197017
         408     1.99172     1.96958  0.00196609
         409     1.99151     1.96964  0.00196201
         410     1.99776     1.96971  0.00195843
         411     1.99824     1.96978  0.00195489
         412     2.01857     1.96989  0.00195373
         413     2.03045     1.97004   0.0019545
         414     2.03407     1.97019  0.00195588
         415     2.01495      1.9703  0.00195414
         416     2.00845     1.97039   0.0019516
         417       1.979     1.97041  0.00194702
         418     1.95641     1.97038  0.00194265
         419      1.9301     1.97029   0.0019404
         420     1.94103     1.97022  0.00193703
         421     1.96637     1.97021  0.00193245
         422     1.99107     1.97026   0.0019285
         423     1.96695     1.97025  0.00192396
         424      1.9356     1.97017  0.00192115
         425     1.94479     1.97011  0.00191756
         426     1.96254     1.97009  0.00191314
         427     1.96317     1.97007  0.00190873
         428     1.96093     1.97005  0.00190439
         429     1.99192      1.9701  0.00190063
         430     2.01564     1.97021  0.00189916
         431     2.03571     1.97036  0.00190083
         432     2.04968     1.97054  0.00190527
         433     2.01571     1.97065  0.00190372
         434     2.00457     1.97073  0.00190094
         435     2.00272      1.9708  0.00189799
         436      2.0231     1.97092  0.00189743
         437     2.02481     1.97104  0.00189709
         438     2.01184     1.97114  0.00189504
         439     2.02499     1.97126  0.00189469
         440     2.01782     1.97136  0.00189334
         441     2.00666     1.97144  0.00189074
         442     1.96326     1.97143  0.00188655
         443     1.97368     1.97143   0.0018823
         444     1.96826     1.97142  0.00187807
         445     1.94317     1.97136  0.00187493
         446     1.95569     1.97133  0.00187105
         447     1.97117     1.97133  0.00186686
         448     1.95543     1.97129  0.00186304
         449     1.92219     1.97118  0.00186209
         450     1.88012     1.97098  0.00186892
         451     1.92047     1.97087  0.00186813
         452     1.95103     1.97082  0.00186451
         453      1.9632     1.97081  0.00186047
         454     1.95955     1.97078  0.00185654
         455     1.93847     1.97071  0.00185381
         456      1.9332     1.97063  0.00185157
         457     1.91087      1.9705  0.00185213
         458      1.9256      1.9704  0.00185068
         459     1.92103     1.97029  0.00184977
         460     1.94594     1.97024  0.00184651
         461     1.95316      1.9702  0.00184287
         462     1.95363     1.97017  0.00183923
         463     1.96456     1.97015   0.0018353
         464     1.94993     1.97011  0.00183186
         465     1.95512     1.97008  0.00182821
         466      1.9428     1.97002  0.00182522
         467     1.97714     1.97003  0.00182138
         468     1.98838     1.97007  0.00181791
         469     2.00282     1.97014  0.00181537
         470      1.9944     1.97019  0.00181224
         471     1.97188      1.9702   0.0018084
         472     1.96303     1.97018  0.00180463
         473      1.9502     1.97014  0.00180131
         474     1.92119     1.97004  0.00180047
         475      1.8997     1.96989  0.00180276
         476     1.93728     1.96982  0.00180027
         477     1.97306     1.96983  0.00179651
         478     1.96883     1.96983  0.00179275
         479     1.95221     1.96979  0.00178939
         480     1.95805     1.96976  0.00178583
         481     1.98403     1.96979  0.00178236
         482     1.98731     1.96983  0.00177903
         483     1.99973     1.96989  0.00177642
         484     1.98859     1.96993  0.00177317
         485     1.97825     1.96995   0.0017696
         486     1.99427        1.97  0.00176667
         487     1.98572     1.97003  0.00176334
         488      1.9979     1.97009  0.00176065
         489     1.98464     1.97012   0.0017573
         490     1.98763     1.97015  0.00175407
         491     1.95991     1.97013  0.00175063
         492     1.98504     1.97016  0.00174733
         493     1.99623     1.97022  0.00174459
         494     1.97198     1.97022  0.00174106
         495      1.9862     1.97025  0.00173784
         496     1.95369     1.97022  0.00173466
         497     1.89765     1.97007   0.0017373
         498     1.87751     1.96989  0.00174373
         499     1.90597     1.96976  0.00174493
         500     1.95703     1.96973  0.00174163
