#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         152     1.59696     1.59659  2.6669e-05
         153     1.59618     1.59659 2.66273e-05
         154     1.59708     1.59659 2.66471e-05
         155     1.59671     1.59659 2.64872e-05
         156     1.59626     1.59659 2.64035e-05
         157     1.59656     1.59659 2.62358e-05
         158     1.59683     1.59659 2.61152e-05
         159     1.59645     1.59659 2.59656e-05
         160     1.59653     1.59659 2.58064e-05
         161     1.59686     1.59659 2.57019e-05
         162     1.59688     1.59659 2.56032e-05
         163      1.5969     1.59659 2.55146e-05
         164     1.59693      1.5966 2.54413e-05
         165     1.59695      1.5966 2.53764e-05
         166     1.59697      1.5966 2.53221e-05
         167     1.59651      1.5966 2.51765e-05
         168      1.5966      1.5966 2.50266e-05
         169     1.59673      1.5966 2.48904e-05
         170     1.59673      1.5966 2.47554e-05
         171     1.59641      1.5966 2.46356e-05
         172     1.59666      1.5966  2.4495e-05
         173     1.59642      1.5966 2.43762e-05
         174     1.59657      1.5966 2.42367e-05
         175     1.59637      1.5966 2.41334e-05
         176     1.59669      1.5966 2.40019e-05
         177     1.59601      1.5966 2.40999e-05
         178     1.59643      1.5966 2.39828e-05
         179     1.59661      1.5966  2.3849e-05
         180     1.59714      1.5966 2.39048e-05
         181     1.59604      1.5966 2.39685e-05
         182     1.59597     1.59659 2.40821e-05
         183     1.59679     1.59659 2.39741e-05
         184      1.5971      1.5966 2.40008e-05
         185      1.5963     1.59659 2.39229e-05
         186     1.59636     1.59659 2.38281e-05
         187     1.59694     1.59659 2.37712e-05
         188     1.59678      1.5966 2.36654e-05
         189     1.59672      1.5966 2.35495e-05
         190      1.5967      1.5966 2.34323e-05
         191     1.59662      1.5966   2.331e-05
         192     1.59604     1.59659 2.33689e-05
         193     1.59667     1.59659 2.32515e-05
         194     1.59703      1.5966 2.32412e-05
         195     1.59661      1.5966  2.3122e-05
         196     1.59652      1.5966 2.30076e-05
         197     1.59711      1.5966  2.3037e-05
         198     1.59685      1.5966 2.29559e-05
         199     1.59616      1.5966 2.29487e-05
         200     1.59653      1.5966 2.28367e-05
         201     1.59726      1.5966 2.29618e-05
         202     1.59683      1.5966  2.2875e-05
         203     1.59674      1.5966 2.27724e-05
         204     1.59664      1.5966 2.26614e-05
         205     1.59636      1.5966 2.25819e-05
         206     1.59657      1.5966 2.24727e-05
         207     1.59687      1.5966 2.24002e-05
         208     1.59725     1.59661 2.25056e-05
         209     1.59694     1.59661 2.24544e-05
         210     1.59689     1.59661 2.23872e-05
         211     1.59626     1.59661 2.23407e-05
         212     1.59687     1.59661 2.22698e-05
         213      1.5972     1.59661 2.23403e-05
         214     1.59646     1.59661  2.2247e-05
         215     1.59651     1.59661 2.21487e-05
         216     1.59646     1.59661 2.20572e-05
         217     1.59592     1.59661 2.21805e-05
         218      1.5965     1.59661 2.20838e-05
         219     1.59656     1.59661 2.19841e-05
         220     1.59672     1.59661 2.18902e-05
         221     1.59663     1.59661 2.17915e-05
         222      1.5973     1.59661 2.19192e-05
         223     1.59594     1.59661 2.20278e-05
         224     1.59647     1.59661 2.19379e-05
         225     1.59668     1.59661 2.18431e-05
         226     1.59682     1.59661 2.17676e-05
         227     1.59641     1.59661 2.16888e-05
         228     1.59642     1.59661 2.16096e-05
         229     1.59661     1.59661 2.15152e-05
         230     1.59639      1.5966 2.14413e-05
         231     1.59657      1.5966 2.13489e-05
         232     1.59625      1.5966 2.13113e-05
         233     1.59644      1.5966 2.12318e-05
         234     1.59645      1.5966 2.11504e-05
         235     1.59665      1.5966 2.10615e-05
         236     1.59649      1.5966 2.09779e-05
         237     1.59662      1.5966 2.08895e-05
         238     1.59632      1.5966 2.08362e-05
         239     1.59663      1.5966 2.07495e-05
         240      1.5966      1.5966 2.06631e-05
         241     1.59651      1.5966 2.05808e-05
         242     1.59652      1.5966 2.04987e-05
         243     1.59644      1.5966 2.04251e-05
         244     1.59647      1.5966 2.03481e-05
         245     1.59642      1.5966 2.02775e-05
         246     1.59703      1.5966 2.02702e-05
         247     1.59672      1.5966 2.01936e-05
         248     1.59619      1.5966 2.01781e-05
         249     1.59736      1.5966 2.03279e-05
         250     1.59625      1.5966 2.02942e-05
         251     1.59647      1.5966 2.02198e-05
         252     1.59635      1.5966 2.01644e-05
         253     1.59709      1.5966 2.01787e-05
         254      1.5964      1.5966  2.0115e-05
         255     1.59654      1.5966 2.00375e-05
         256     1.59722      1.5966 2.01068e-05
         257     1.59624      1.5966 2.00764e-05
         258     1.59638      1.5966  2.0017e-05
         259     1.59666      1.5966 1.99409e-05
         260     1.59723      1.5966 2.00102e-05
         261     1.59683      1.5966 1.99533e-05
         262     1.59615      1.5966  1.9953e-05
         263     1.59666      1.5966 1.98785e-05
         264      1.5967      1.5966 1.98069e-05
         265     1.59588      1.5966 1.99207e-05
         266     1.59621      1.5966 1.98981e-05
         267     1.59643      1.5966 1.98333e-05
         268     1.59631      1.5966 1.97883e-05
         269     1.59649      1.5966 1.97188e-05
         270      1.5969      1.5966  1.9677e-05
         271     1.59672      1.5966 1.96101e-05
         272     1.59646      1.5966 1.95448e-05
         273     1.59594     1.59659 1.96212e-05
         274     1.59709      1.5966 1.96345e-05
         275     1.59683      1.5966 1.95819e-05
         276     1.59651      1.5966 1.95135e-05
         277     1.59659      1.5966  1.9443e-05
         278      1.5965      1.5966  1.9376e-05
         279     1.59699      1.5966  1.9358e-05
         280      1.5964      1.5966 1.93011e-05
         281     1.59647      1.5966 1.92381e-05
         282     1.59665      1.5966 1.91707e-05
         283     1.59613      1.5966 1.91743e-05
         284     1.59619     1.59659  1.9159e-05
         285     1.59705      1.5966 1.91576e-05
         286     1.59708      1.5966 1.91645e-05
         287     1.59661      1.5966 1.90978e-05
         288     1.59702      1.5966 1.90882e-05
         289     1.59622      1.5966 1.90672e-05
         290     1.59668      1.5966 1.90035e-05
         291     1.59706      1.5966  1.9005e-05
         292     1.59692      1.5966  1.8971e-05
         293     1.59671      1.5966 1.89102e-05
         294     1.59626      1.5966 1.88816e-05
         295     1.59648      1.5966 1.88217e-05
         296     1.59699      1.5966 1.88045e-05
         297     1.59607      1.5966  1.8825e-05
