# block_number expected_H error_H
212 -0.44412751 0.00075536
213 -0.44419274 0.00075465
214 -0.44422815 0.00075196
215 -0.44425282 0.00074888
216 -0.44425948 0.00074545
217 -0.44423629 0.00074239
218 -0.44422581 0.00073906
219 -0.44426507 0.00073674
220 -0.44429076 0.00073385
221 -0.44419809 0.00073639
222 -0.44420881 0.00073316
223 -0.44426883 0.00073235
224 -0.44418401 0.00073400
225 -0.44422698 0.00073201
226 -0.44425724 0.00072940
227 -0.44428197 0.00072662
228 -0.44433172 0.00072515
229 -0.44430245 0.00072258
230 -0.44428146 0.00071975
231 -0.44423025 0.00071847
232 -0.44414106 0.00072092
233 -0.44410990 0.00071851
234 -0.44416387 0.00071748
235 -0.44420234 0.00071546
236 -0.44424912 0.00071397
237 -0.44420991 0.00071205
238 -0.44425744 0.00071065
239 -0.44425724 0.00070769
240 -0.44425840 0.00070475
241 -0.44423239 0.00070231
242 -0.44426792 0.00070031
243 -0.44425978 0.00069749
244 -0.44425893 0.00069463
245 -0.44429379 0.00069268
246 -0.44426158 0.00069062
247 -0.44423616 0.00068830
248 -0.44421181 0.00068597
249 -0.44421415 0.00068322
250 -0.44420891 0.00068051
251 -0.44419600 0.00067793
252 -0.44425364 0.00067770
253 -0.44429856 0.00067652
254 -0.44424931 0.00067566
255 -0.44428942 0.00067421
256 -0.44425941 0.00067225
257 -0.44423908 0.00066995
258 -0.44428595 0.00066900
259 -0.44432475 0.00066755
260 -0.44427294 0.00066701
261 -0.44432721 0.00066667
262 -0.44438458 0.00066660
263 -0.44436509 0.00066436
264 -0.44437781 0.00066197
265 -0.44443682 0.00066211
266 -0.44433789 0.00066700
267 -0.44434533 0.00066455
268 -0.44430280 0.00066344
269 -0.44426495 0.00066206
270 -0.44426383 0.00065961
271 -0.44420257 0.00066003
272 -0.44418716 0.00065779
273 -0.44423361 0.00065703
274 -0.44416043 0.00065871
275 -0.44415585 0.00065634
276 -0.44419336 0.00065504
277 -0.44417988 0.00065282
278 -0.44418975 0.00065055
279 -0.44419914 0.00064829
280 -0.44422395 0.00064646
281 -0.44429051 0.00064759
282 -0.44425658 0.00064619
283 -0.44427420 0.00064415
284 -0.44432894 0.00064422
285 -0.44430226 0.00064251
286 -0.44431889 0.00064049
287 -0.44431741 0.00063826
288 -0.44432683 0.00063612
289 -0.44433934 0.00063404
290 -0.44440968 0.00063577
291 -0.44440413 0.00063361
292 -0.44437115 0.00063230
293 -0.44441128 0.00063142
294 -0.44439951 0.00062939
295 -0.44447160 0.00063139
296 -0.44448868 0.00062949
297 -0.44445212 0.00062844
298 -0.44451480 0.00062946
299 -0.44454680 0.00062818
300 -0.44454344 0.00062610
301 -0.44457398 0.00062477
302 -0.44460641 0.00062355
303 -0.44462681 0.00062183
304 -0.44453644 0.00062634
305 -0.44450167 0.00062525
306 -0.44446092 0.00062454
307 -0.44447089 0.00062259
308 -0.44454682 0.00062520
309 -0.44457095 0.00062365
310 -0.44458360 0.00062177
311 -0.44457490 0.00061984
312 -0.44455931 0.00061805
313 -0.44458369 0.00061656
314 -0.44455680 0.00061519
315 -0.44450940 0.00061507
316 -0.44451870 0.00061319
317 -0.44451806 0.00061126
318 -0.44451321 0.00060936
319 -0.44450699 0.00060749
320 -0.44449684 0.00060568
321 -0.44445239 0.00060543
322 -0.44439750 0.00060604
323 -0.44443358 0.00060524
324 -0.44441505 0.00060366
325 -0.44443100 0.00060202
326 -0.44438371 0.00060203
327 -0.44433720 0.00060200
328 -0.44432309 0.00060033
329 -0.44437597 0.00060084
330 -0.44441814 0.00060050
331 -0.44436407 0.00060113
332 -0.44436419 0.00059932
333 -0.44437960 0.00059772
334 -0.44439976 0.00059628
335 -0.44436980 0.00059525
336 -0.44443432 0.00059698
337 -0.44435638 0.00060029
338 -0.44435922 0.00059853
339 -0.44437143 0.00059689
340 -0.44438000 0.00059520
341 -0.44440898 0.00059416
342 -0.44442378 0.00059261
343 -0.44441642 0.00059093
344 -0.44434558 0.00059346
345 -0.44435508 0.00059182
346 -0.44433568 0.00059043
347 -0.44436659 0.00058954
348 -0.44437105 0.00058787
349 -0.44436463 0.00058622
350 -0.44430294 0.00058779
351 -0.44430446 0.00058612
352 -0.44425606 0.00058646
353 -0.44424217 0.00058497
354 -0.44419948 0.00058488
355 -0.44419066 0.00058330
356 -0.44422554 0.00058271
357 -0.44422788 0.00058108
358 -0.44417527 0.00058184
359 -0.44418520 0.00058031
360 -0.44415433 0.00057952
361 -0.44411741 0.00057910
362 -0.44410510 0.00057763
363 -0.44408949 0.00057625
364 -0.44404437 0.00057644
365 -0.44407088 0.00057548
366 -0.44404515 0.00057448
367 -0.44403207 0.00057307
368 -0.44407781 0.00057334
369 -0.44411916 0.00057328
370 -0.44411883 0.00057173
371 -0.44413507 0.00057043
372 -0.44415255 0.00056916
373 -0.44418189 0.00056840
374 -0.44420877 0.00056752
375 -0.44420726 0.00056601
376 -0.44416269 0.00056626
377 -0.44415079 0.00056489
378 -0.44413359 0.00056366
379 -0.44414871 0.00056237
380 -0.44414339 0.00056092
381 -0.44416838 0.00056001
382 -0.44420735 0.00055990
383 -0.44422840 0.00055884
384 -0.44420791 0.00055776
385 -0.44424679 0.00055767
386 -0.44423845 0.00055629
387 -0.44428871 0.00055713
388 -0.44427738 0.00055581
389 -0.44425844 0.00055471
390 -0.44425347 0.00055331
391 -0.44421568 0.00055319
392 -0.44424709 0.00055267
393 -0.44426202 0.00055147
394 -0.44424373 0.00055037
395 -0.44424387 0.00054898
396 -0.44427676 0.00054859
