# SA_step mu sigma
227 0.79901714 0.52267571
228 0.80478948 0.52554783
229 0.80544503 0.53323436
230 0.80544503 0.53323436
231 0.81236848 0.53494070
232 0.80420520 0.53314563
233 0.80846263 0.53270060
234 0.81240826 0.52533154
235 0.80259570 0.51759712
236 0.81036363 0.51928761
237 0.81036363 0.51928761
238 0.81577323 0.52000987
239 0.81740403 0.51173374
240 0.81740403 0.51173374
241 0.81863397 0.51085118
242 0.80955379 0.51288231
243 0.81954379 0.52173037
244 0.82159118 0.53016215
245 0.81685856 0.52572755
246 0.82188405 0.52663582
247 0.81493533 0.52474380
248 0.81985618 0.52750089
249 0.81985618 0.52750089
250 0.81717196 0.52849141
251 0.82428035 0.52428407
252 0.82428035 0.52428407
253 0.81911869 0.52513738
254 0.81085692 0.52402899
255 0.81354985 0.52623332
256 0.82016180 0.53552777
257 0.82038751 0.53542451
258 0.82441300 0.52816007
259 0.83108819 0.52202518
260 0.82457556 0.52216273
261 0.83300638 0.52165149
262 0.82961334 0.51883792
263 0.82928380 0.51464085
264 0.82152595 0.51579132
265 0.81177067 0.51711145
266 0.80845484 0.52217568
267 0.81772628 0.52933943
268 0.81752857 0.52291738
269 0.80893741 0.52474616
270 0.80660976 0.52881221
271 0.81654410 0.52505517
272 0.81735301 0.52572478
273 0.81269455 0.52724749
274 0.80601570 0.51844480
275 0.80601570 0.51844480
276 0.80229343 0.51964611
277 0.79650719 0.52773049
278 0.79977456 0.53378005
279 0.79212340 0.53869111
280 0.79971303 0.53943984
281 0.79971303 0.53943984
282 0.80337290 0.54839289
283 0.80337290 0.54839289
284 0.79940317 0.53840939
285 0.80453517 0.54555905
286 0.79585759 0.54188130
287 0.79697521 0.54891391
288 0.79393517 0.54540574
289 0.79834940 0.53564391
290 0.79690176 0.52701048
291 0.79121859 0.52418925
292 0.79640645 0.52103873
293 0.79510456 0.52388092
294 0.79643815 0.52892423
295 0.79553200 0.53688393
296 0.79895991 0.53136866
297 0.79457450 0.53014973
298 0.80366236 0.53425171
299 0.79873733 0.52757502
300 0.79111913 0.52659809
301 0.78827071 0.51932739
302 0.78936307 0.51717312
303 0.79716476 0.51438739
304 0.79412137 0.50488406
305 0.78756520 0.49769855
306 0.78228531 0.49118001
307 0.77799202 0.49420059
308 0.77867825 0.49026974
309 0.78077014 0.48885175
310 0.77522497 0.48428658
311 0.77275925 0.49063633
312 0.77275925 0.49063633
313 0.76543137 0.49212358
314 0.76374394 0.49580621
315 0.75631147 0.50515428
316 0.76159628 0.50364941
