# SA_step mu sigma
994 0.88531482 0.62162516
995 0.88690478 0.62937293
996 0.89409665 0.63862160
997 0.88867323 0.63099739
998 0.88108493 0.63160615
999 0.87282982 0.64019974
1000 0.87848845 0.63114880
1001 0.87594226 0.63597956
1002 0.87594226 0.63597956
1003 0.87577812 0.63165604
1004 0.87577812 0.63165604
1005 0.87129853 0.63984061
1006 0.87129853 0.63984061
1007 0.87747055 0.63318745
1008 0.87129201 0.63169865
1009 0.86536513 0.62690777
1010 0.85754763 0.61789013
1011 0.86335845 0.61213423
1012 0.86335845 0.61213423
1013 0.85608310 0.61520964
1014 0.84979177 0.62151677
1015 0.84175483 0.61460040
1016 0.85053376 0.61294533
1017 0.85053376 0.61294533
1018 0.85338070 0.60514625
1019 0.84524009 0.60955425
1020 0.84006086 0.60904896
1021 0.84860541 0.60364219
1022 0.84488587 0.60053324
1023 0.85075723 0.61012637
1024 0.84275391 0.61312492
1025 0.83677842 0.61656114
1026 0.83859132 0.62177616
1027 0.83930830 0.61203297
1028 0.83602746 0.61462358
1029 0.84049833 0.61796739
1030 0.83358496 0.61262641
1031 0.82359733 0.60600669
1032 0.81813934 0.60759433
1033 0.81947553 0.60215661
1034 0.81757799 0.60152035
1035 0.82568774 0.60268583
1036 0.83300733 0.60770170
1037 0.83300733 0.60770170
1038 0.82483867 0.61350395
1039 0.82690179 0.62203150
1040 0.83619034 0.61649576
1041 0.83841912 0.60831094
1042 0.84276908 0.61607496
1043 0.84855867 0.61123193
1044 0.85574268 0.61182672
1045 0.86337178 0.61755876
1046 0.86327544 0.62171343
1047 0.86554717 0.63035920
1048 0.86747226 0.63557967
1049 0.86045677 0.62851846
1050 0.85467522 0.62137469
1051 0.85900154 0.61237360
1052 0.85672431 0.60707962
1053 0.84936039 0.60413548
1054 0.84110094 0.59666262
1055 0.84162615 0.59972568
1056 0.84073330 0.59423067
1057 0.84444025 0.59103780
1058 0.83958618 0.60095558
1059 0.84648021 0.60044847
1060 0.83862573 0.59484703
1061 0.83862573 0.59484703
1062 0.84829897 0.58917447
1063 0.84006203 0.59888028
1064 0.84226915 0.59592593
1065 0.84352948 0.59600608
1066 0.84074057 0.59364907
1067 0.83419255 0.59974280
1068 0.82477216 0.60826139
1069 0.81980814 0.60258675
1070 0.82141362 0.59810763
1071 0.83072633 0.60528775
1072 0.82471233 0.60172257
1073 0.82471233 0.60172257
1074 0.82342526 0.59508592
1075 0.82256017 0.59251198
1076 0.81945360 0.58759162
1077 0.82465381 0.59696731
1078 0.82770534 0.60055518
1079 0.83096822 0.59392235
1080 0.82409499 0.59557076
1081 0.82344254 0.59844946
1082 0.83105627 0.60365889
1083 0.82238757 0.60710373
1084 0.81414263 0.60275164
1085 0.80555156 0.60033740
1086 0.79954340 0.60332428
1087 0.80432216 0.59472446
1088 0.81225922 0.58965813
1089 0.81981706 0.59330099
1090 0.81511587 0.58779299
1091 0.82195851 0.59270948
1092 0.82415676 0.58801292
1093 0.82415676 0.58801292
1094 0.82684051 0.59374491
1095 0.83414358 0.58994065
1096 0.83978892 0.59255554
1097 0.83878237 0.58745388
1098 0.83394435 0.59626010
1099 0.83762489 0.58883690
1100 0.84008502 0.59061399
1101 0.84008502 0.59061399
1102 0.84907950 0.59166051
1103 0.85095496 0.59742721
1104 0.85853758 0.59595719
1105 0.85853758 0.59595719
1106 0.85186734 0.59579735
1107 0.84333975 0.59554872
1108 0.84743715 0.60420089
1109 0.85157894 0.61011349
1110 0.85058199 0.60976880
1111 0.85692398 0.60111755
1112 0.86008249 0.60534271
1113 0.85344590 0.60476009
1114 0.84583814 0.60435447
1115 0.83594923 0.60875884
1116 0.84132874 0.60381755
1117 0.83544145 0.60297062
1118 0.83598926 0.60910070
1119 0.84300487 0.61802780
1120 0.84991261 0.61872707
1121 0.84606942 0.61449969
1122 0.84738276 0.60919642
1123 0.84738276 0.60919642
1124 0.83808295 0.60727388
1125 0.83007959 0.61469486
1126 0.83615536 0.61149842
1127 0.84254264 0.61355338
1128 0.84554315 0.60695593
1129 0.85012890 0.61113387
1130 0.84587654 0.60185657
1131 0.83686375 0.60418333
1132 0.83710376 0.59829302
1133 0.83710376 0.59829302
1134 0.83710376 0.59829302
1135 0.83888063 0.59020257
1136 0.82935772 0.58556227
1137 0.82016941 0.58822568
1138 0.82296516 0.58513390
1139 0.82494061 0.58869775
1140 0.83329638 0.59045560
1141 0.83096371 0.59953675
1142 0.82955067 0.60042827
1143 0.83690230 0.59576483
1144 0.83698677 0.58846539
1145 0.83250438 0.58865109
1146 0.82528943 0.59501955
1147 0.81818892 0.60166914
1148 0.81818892 0.60166914
1149 0.82675473 0.60459370
1150 0.82185552 0.60937231
1151 0.81758493 0.60456073
1152 0.81754475 0.59710641
1153 0.82115994 0.59407842
1154 0.82912688 0.59199128
1155 0.82912688 0.59199128
1156 0.82865437 0.58663346
1157 0.83147617 0.59248933
1158 0.82253581 0.59691042
1159 0.81795843 0.60647690
1160 0.82048130 0.61158565
1161 0.81574462 0.61848924
1162 0.81982149 0.62126197
1163 0.81835695 0.61469026
1164 0.81650698 0.60931790
1165 0.81650698 0.60931790
1166 0.82083562 0.60330673
1167 0.81750387 0.61093867
1168 0.82631031 0.61097979
1169 0.82297722 0.60408928
1170 0.82848482 0.60712428
1171 0.82692430 0.61704301
1172 0.83164193 0.61100339
1173 0.83164193 0.61100339
1174 0.82204371 0.60753349
1175 0.81277171 0.60698844
1176 0.81184333 0.60844695
1177 0.80981986 0.60463035
1178 0.80822130 0.60293197
1179 0.80494952 0.60175851
1180 0.79997793 0.60318591
1181 0.79840512 0.59798144
1182 0.79133601 0.60632510
1183 0.78786788 0.61225114
1184 0.78778900 0.61900445
1185 0.78250007 0.61043315
1186 0.79077144 0.60350416
1187 0.79363082 0.60968300
1188 0.78441697 0.61666576
1189 0.78860430 0.60869194
1190 0.79147892 0.61539467
1191 0.78505661 0.60745361
1192 0.79329828 0.59866404
1193 0.79777541 0.59594283
1194 0.80759118 0.59550747
1195 0.80759118 0.59550747
1196 0.81382029 0.60275847
1197 0.80744092 0.59379105
1198 0.81393184 0.59040225
1199 0.81521967 0.59347018
1200 0.80639313 0.58707899
1201 0.79875331 0.57861111
1202 0.79514981 0.57780898
1203 0.80391266 0.58216656
1204 0.80191985 0.59147562
1205 0.80191985 0.59147562
1206 0.80849606 0.59034878
1207 0.81105968 0.58775719
1208 0.81998147 0.59516121
1209 0.82619603 0.59044493
1210 0.82140032 0.59106635
1211 0.81603457 0.58525084
1212 0.81074653 0.58839431
1213 0.80387083 0.58703493
1214 0.80815452 0.58164406
1215 0.81122165 0.58616734
1216 0.81481498 0.59391991
1217 0.81199552 0.59034660
1218 0.80343579 0.58358243
1219 0.80343579 0.58358243
1220 0.80343579 0.58358243
1221 0.81256388 0.57743102
1222 0.80309758 0.57788444
1223 0.81089630 0.58522732
1224 0.81325277 0.59177879
1225 0.81436114 0.59711865
1226 0.81525862 0.59942675
1227 0.81655886 0.60475284
1228 0.81995812 0.60938364
1229 0.82926333 0.60800674
1230 0.82572107 0.60202564
1231 0.82854931 0.60266643
1232 0.82564193 0.60849792
1233 0.82881281 0.61336763
1234 0.83394295 0.61866398
1235 0.84277663 0.62840311
1236 0.84910503 0.63401564
1237 0.84761211 0.63056275
1238 0.83911054 0.63137964
1239 0.83168693 0.63753195
1240 0.83700929 0.63178831
1241 0.83780689 0.62674510
1242 0.83780689 0.62674510
1243 0.84608028 0.62901904
1244 0.84853601 0.63470806
1245 0.83897335 0.63099132
1246 0.83469002 0.62266267
1247 0.83652225 0.61658035
1248 0.84507972 0.61872408
1249 0.84424491 0.61797345
1250 0.84424491 0.61797345
1251 0.84072313 0.61654567
1252 0.84072313 0.61654567
1253 0.84072313 0.61654567
1254 0.84072313 0.61654567
1255 0.84745470 0.62316150
1256 0.84745470 0.62316150
1257 0.84628475 0.61995027
1258 0.85398533 0.62779397
1259 0.85075609 0.62449650
1260 0.85551537 0.62547383
1261 0.85551537 0.62547383
1262 0.85551537 0.62547383
1263 0.84572553 0.63518405
1264 0.84288052 0.64261900
1265 0.84288052 0.64261900
1266 0.84288052 0.64261900
1267 0.84970367 0.64965782
1268 0.84349201 0.65727649
1269 0.84349201 0.65727649
1270 0.83700613 0.66580998
1271 0.83700613 0.66580998
1272 0.82782186 0.65905850
1273 0.82714460 0.66327028
1274 0.82426641 0.65675468
1275 0.82620637 0.66036803
1276 0.82311300 0.66998467
1277 0.81485278 0.66416854
1278 0.81485278 0.66416854
1279 0.81485278 0.66416854
1280 0.80655078 0.65829140
1281 0.79836667 0.65659279
1282 0.79868862 0.66220589
1283 0.79868862 0.66220589
1284 0.80617788 0.67024738
1285 0.80617788 0.67024738
1286 0.80617788 0.67024738
1287 0.80617788 0.67024738
1288 0.81298147 0.66779298
1289 0.80860628 0.65983758
1290 0.80630264 0.65516627
1291 0.81233306 0.65009065
1292 0.81543025 0.65388549
1293 0.80574285 0.65751990
1294 0.80778005 0.65846525
1295 0.81504234 0.65015363
1296 0.81995400 0.64388477
1297 0.82546231 0.63507422
1298 0.82143933 0.63365147
1299 0.82143933 0.63365147
1300 0.81387872 0.63775226
1301 0.81552213 0.64325874
1302 0.81552213 0.64325874
1303 0.81381142 0.64365093
1304 0.81529902 0.64388392
1305 0.81381318 0.63864167
1306 0.81508375 0.63300674
1307 0.81307664 0.64033140
1308 0.82231576 0.63581134
1309 0.83221075 0.63265824
1310 0.83268321 0.62752382
1311 0.82525523 0.63690148
1312 0.83470097 0.63921564
1313 0.83470097 0.63921564
1314 0.83470097 0.63921564
1315 0.83470097 0.63921564
1316 0.83470097 0.63921564
1317 0.82958608 0.63574554
1318 0.82958608 0.63574554
1319 0.82727723 0.62631038
1320 0.83524875 0.61802950
1321 0.83870771 0.62254335
1322 0.83927250 0.61312234
1323 0.83927250 0.61312234
1324 0.83927250 0.61312234
1325 0.83171044 0.60353036
1326 0.83117714 0.61086466
1327 0.84098466 0.60648918
1328 0.84146079 0.60614280
1329 0.83650270 0.61274967
1330 0.82799007 0.61781815
1331 0.81925098 0.61027469
1332 0.81269109 0.61912476
1333 0.80639145 0.62289773
1334 0.79935657 0.61743686
1335 0.79331695 0.62308831
1336 0.79331695 0.62308831
1337 0.78979237 0.62447167
1338 0.78969822 0.62446314
1339 0.78338617 0.61620064
1340 0.79188186 0.61762828
1341 0.80169116 0.62457483
1342 0.79384132 0.63297203
1343 0.79371939 0.62583967
1344 0.79345901 0.62384812
1345 0.79394059 0.61442863
1346 0.80359687 0.61221476
1347 0.81285556 0.62147911
1348 0.81285556 0.62147911
1349 0.81511333 0.62350736
1350 0.82215369 0.61397466
1351 0.82764834 0.61525306
1352 0.82866900 0.61944983
1353 0.83678188 0.61752920
1354 0.84056107 0.62559681
1355 0.84140528 0.62885820
1356 0.84031623 0.63693902
1357 0.84810072 0.63588134
1358 0.84194054 0.62794724
1359 0.84194054 0.62794724
1360 0.84194054 0.62794724
1361 0.84847973 0.62387570
1362 0.85480142 0.61540709
1363 0.85480142 0.61540709
1364 0.85480142 0.61540709
1365 0.85613916 0.61320235
1366 0.84986274 0.61107936
1367 0.84389497 0.61792963
1368 0.84148151 0.62009361
1369 0.83657931 0.61164878
1370 0.83837401 0.60817454
1371 0.83779034 0.61613678
1372 0.82893657 0.62584053
1373 0.83057775 0.61801174
1374 0.83966971 0.61050973
1375 0.83673125 0.61962022
1376 0.84243824 0.62442817
1377 0.84243824 0.62442817
1378 0.84164612 0.62365536
1379 0.84164612 0.62365536
1380 0.84547979 0.63025598
1381 0.83659567 0.62461601
1382 0.83399568 0.62330296
1383 0.84374716 0.61745021
1384 0.84374716 0.61745021
1385 0.84374716 0.61745021
1386 0.84374716 0.61745021
1387 0.83927652 0.61749541
1388 0.84236014 0.61882187
1389 0.83774928 0.61745221
1390 0.83584736 0.62388161
1391 0.84034781 0.61442459
1392 0.83228718 0.61270031
1393 0.83751237 0.60970737
1394 0.83751237 0.60970737
1395 0.83751237 0.60970737
1396 0.83166446 0.60640983
1397 0.83901178 0.60893641
1398 0.84141086 0.61747936
1399 0.84141086 0.61747936
1400 0.83856881 0.61303101
1401 0.84119392 0.61726587
1402 0.84894740 0.62090586
1403 0.84894740 0.62090586
1404 0.84894740 0.62090586
1405 0.85561416 0.61969259
1406 0.86413180 0.62108324
1407 0.85804311 0.61499709
1408 0.85910600 0.61467446
1409 0.85546262 0.60601129
1410 0.85546262 0.60601129
1411 0.84964745 0.60112018
1412 0.85616256 0.60811498
1413 0.85414556 0.59995900
1414 0.85085157 0.59833424
1415 0.85085157 0.59833424
1416 0.85353810 0.59883074
1417 0.85353810 0.59883074
1418 0.85043381 0.60535085
1419 0.85043381 0.60535085
1420 0.85061776 0.60576126
1421 0.85995295 0.60875499
1422 0.85995295 0.60875499
1423 0.85668091 0.61338941
1424 0.85404105 0.60734593
1425 0.85765079 0.60216792
1426 0.86154323 0.59437622
1427 0.85915392 0.60317793
1428 0.86037571 0.59927454
1429 0.85762527 0.60644748
1430 0.86412613 0.60623363
1431 0.87036794 0.60212111
1432 0.86097215 0.60499016
1433 0.85734667 0.60290523
1434 0.86225123 0.60106030
1435 0.86974072 0.60747202
1436 0.86627372 0.61151112
1437 0.86207527 0.60342953
1438 0.87145648 0.59795932
1439 0.86548030 0.60191972
1440 0.86270819 0.59732078
1441 0.86958399 0.60426006
1442 0.86958399 0.60426006
1443 0.86958399 0.60426006
1444 0.86970266 0.60437661
1445 0.87392637 0.60981159
1446 0.87654548 0.60861131
1447 0.87654548 0.60861131
1448 0.87654548 0.60861131
1449 0.87654548 0.60861131
1450 0.87408181 0.61349841
1451 0.86884918 0.61211765
1452 0.86063837 0.60916220
1453 0.85174068 0.61498632
1454 0.85174068 0.61498632
1455 0.84786491 0.60633907
1456 0.84673351 0.61147956
1457 0.84673351 0.61147956
1458 0.84178960 0.61976995
1459 0.83966577 0.62126993
1460 0.83187679 0.62693856
1461 0.83480929 0.62432775
1462 0.82483665 0.61683211
1463 0.83313716 0.62221664
1464 0.83034427 0.61608700
1465 0.83595815 0.62396106
1466 0.83735968 0.62929695
1467 0.83748746 0.63777717
1468 0.83192991 0.63602984
1469 0.83270826 0.63858153
1470 0.83220698 0.63821682
1471 0.82917428 0.63021880
1472 0.82133911 0.63466546
1473 0.81499810 0.63179534
1474 0.82182944 0.62339878
1475 0.82524450 0.61462034
1476 0.82310012 0.61881919
1477 0.82310012 0.61881919
1478 0.82450792 0.61193895
1479 0.82028255 0.60425431
1480 0.82130848 0.59495933
1481 0.81895528 0.59635562
1482 0.82340591 0.60424452
1483 0.82871146 0.60248449
1484 0.83354572 0.60615816
1485 0.83354572 0.60615816
1486 0.83354572 0.60615816
1487 0.83354572 0.60615816
1488 0.82712651 0.61577704
1489 0.81899924 0.60715619
1490 0.81983251 0.60790497
1491 0.81983251 0.60790497
1492 0.82371128 0.60380918
1493 0.81765820 0.61300305
1494 0.81765820 0.61300305
1495 0.80979184 0.61651406
1496 0.80080667 0.60660881
1497 0.79540172 0.59925789
1498 0.79702517 0.59710064
1499 0.80673231 0.60707607
1500 0.80147451 0.61352361
1501 0.79945612 0.61477528
1502 0.80010063 0.61065735
1503 0.79445306 0.61317972
1504 0.79538724 0.61741452
1505 0.79033947 0.62136267
1506 0.79625379 0.61599583
1507 0.79047218 0.62011931
1508 0.78243564 0.62164446
1509 0.77438399 0.61463251
1510 0.76879588 0.61687284
1511 0.76446129 0.61982625
1512 0.77300780 0.62447337
1513 0.77741328 0.61562775
1514 0.77166913 0.61685437
1515 0.77133993 0.61528210
1516 0.76399543 0.61283592
1517 0.76399543 0.61283592
1518 0.76399543 0.61283592
1519 0.77218203 0.60614285
1520 0.76506468 0.60069106
1521 0.76020888 0.60892188
1522 0.76515785 0.60554189
1523 0.76825825 0.60322598
1524 0.76825825 0.60322598
1525 0.76471601 0.59782864
1526 0.76471601 0.59782864
1527 0.76293918 0.60183160
1528 0.75750066 0.59864746
1529 0.76324434 0.60837597
1530 0.76508188 0.61071502
1531 0.76017422 0.61412751
1532 0.76225948 0.61469422
1533 0.76719726 0.61329558
1534 0.75881381 0.61054157
1535 0.75862289 0.61841052
1536 0.76659111 0.62222567
1537 0.76505704 0.62363010
1538 0.76917179 0.62206484
1539 0.77139956 0.61600686
1540 0.77868820 0.61831924
1541 0.78203978 0.61395138
1542 0.77951477 0.61777339
1543 0.76982498 0.62490500
1544 0.77565789 0.62663907
1545 0.77860388 0.63289700
1546 0.77331852 0.63492638
1547 0.77251660 0.63782779
1548 0.76276967 0.64156470
1549 0.76556303 0.63574080
1550 0.76144337 0.63012462
1551 0.75396408 0.62532472
1552 0.76202765 0.61665411
1553 0.75963543 0.61943549
1554 0.76830032 0.61151562
1555 0.76504483 0.61847870
1556 0.76504483 0.61847870
1557 0.76489662 0.61745944
1558 0.77221993 0.62105632
1559 0.77243003 0.62239145
1560 0.77173532 0.61378889
1561 0.77474044 0.61425168
1562 0.78107132 0.60800681
1563 0.78831718 0.60587583
1564 0.78281895 0.60855708
1565 0.79228105 0.60091565
1566 0.80155137 0.59692175
1567 0.79442075 0.60177473
1568 0.79548474 0.59372343
1569 0.79548474 0.59372343
1570 0.79548474 0.59372343
1571 0.79548474 0.59372343
1572 0.78957290 0.59622372
1573 0.78175525 0.59767547
1574 0.77510075 0.60412273
1575 0.76554410 0.60694124
1576 0.75989470 0.60792005
1577 0.76401553 0.61591213
1578 0.76401553 0.61591213
1579 0.76395106 0.62591051
1580 0.76772327 0.62287212
1581 0.76728589 0.61825927
1582 0.77467700 0.62382408
1583 0.77480269 0.61505956
1584 0.78247135 0.61695267
1585 0.78074060 0.61934457
1586 0.78987824 0.61742034
1587 0.78987824 0.61742034
1588 0.79877125 0.62184879
1589 0.78977277 0.61196263
1590 0.78720761 0.61155478
1591 0.79203984 0.60610254
1592 0.79203984 0.60610254
1593 0.78738647 0.61029654
1594 0.79139715 0.60750508
1595 0.79139715 0.60750508
1596 0.79388669 0.60133929
1597 0.78534828 0.60267108
1598 0.79286974 0.60907407
1599 0.78962675 0.60089283
1600 0.79672173 0.60748911
1601 0.80625605 0.61037801
1602 0.81191408 0.61620449
1603 0.81790833 0.62598455
1604 0.81795803 0.62143157
1605 0.81959937 0.61871943
1606 0.81664598 0.62766235
1607 0.82610057 0.62792480
1608 0.83259480 0.63345454
1609 0.82945892 0.63336001
1610 0.82945892 0.63336001
1611 0.82838873 0.62437314
1612 0.82259184 0.62682361
1613 0.82327032 0.63015619
1614 0.81892978 0.62265880
1615 0.81892978 0.62265880
1616 0.82549961 0.61905030
1617 0.82549961 0.61905030
1618 0.82549961 0.61905030
1619 0.81887416 0.61161798
1620 0.81373818 0.60234770
1621 0.80992356 0.60134571
1622 0.80490499 0.60524115
1623 0.80567312 0.60178342
1624 0.79817173 0.60080937
1625 0.79817173 0.60080937
1626 0.79817173 0.60080937
1627 0.80426852 0.59886675
1628 0.79659188 0.59065768
1629 0.79398614 0.59663219
1630 0.78830342 0.60508581
1631 0.78830342 0.60508581
1632 0.78830342 0.60508581
1633 0.79500630 0.61278681
1634 0.79290037 0.61388602
1635 0.79290037 0.61388602
1636 0.79443115 0.61141692
1637 0.78884745 0.60314811
1638 0.78306230 0.60800705
1639 0.78724865 0.60452862
1640 0.79257130 0.61407067
1641 0.79199944 0.61233870
1642 0.79628647 0.60530450
1643 0.78820425 0.60680912
1644 0.78350398 0.60242235
1645 0.78359942 0.61106459
1646 0.79075867 0.61924001
1647 0.78232638 0.60999620
1648 0.78908192 0.61229227
1649 0.78572816 0.61745411
1650 0.78572816 0.61745411
1651 0.78322584 0.61980689
1652 0.78322584 0.61980689
1653 0.78322584 0.61980689
1654 0.79209308 0.62785981
1655 0.79209308 0.62785981
1656 0.79858490 0.61999994
1657 0.80694025 0.62728294
1658 0.80694025 0.62728294
1659 0.80192015 0.62607162
1660 0.80192015 0.62607162
1661 0.80930470 0.62177019
1662 0.80930470 0.62177019
1663 0.80175120 0.62420369
1664 0.80175120 0.62420369
1665 0.81087212 0.62819752
1666 0.81149733 0.63559364
1667 0.81905885 0.62659519
1668 0.81307524 0.63425367
1669 0.80666187 0.63024385
1670 0.79906932 0.62234729
1671 0.79906932 0.62234729
1672 0.80008218 0.61380255
1673 0.80085834 0.61555003
1674 0.79890622 0.62553272
1675 0.80133062 0.63110514
1676 0.80704773 0.63176168
1677 0.80703608 0.63509213
1678 0.80733065 0.62619484
1679 0.81024942 0.62185280
1680 0.82008882 0.62675460
1681 0.81225761 0.61935379
1682 0.81225761 0.61935379
1683 0.80856487 0.61163642
1684 0.80460681 0.60703951
1685 0.80052022 0.60386484
1686 0.80052022 0.60386484
1687 0.80692733 0.60570866
1688 0.80760464 0.61051314
1689 0.80760464 0.61051314
1690 0.80388037 0.60898704
1691 0.80207890 0.60307764
1692 0.80207890 0.60307764
1693 0.79707404 0.60598375
1694 0.80017413 0.60643095
1695 0.80411899 0.59705130
1696 0.79986893 0.60291428
1697 0.79986893 0.60291428
1698 0.80081587 0.59906353
1699 0.80432728 0.60417355
1700 0.80612287 0.60485240
1701 0.80730700 0.61132997
1702 0.80730700 0.61132997
1703 0.80987760 0.61455830
1704 0.81391011 0.60823546
1705 0.80604165 0.60854006
1706 0.81121378 0.61376052
1707 0.81348063 0.60686210
1708 0.80884833 0.61496182
1709 0.81320054 0.60564915
1710 0.81320054 0.60564915
1711 0.80978539 0.61513470
1712 0.80978539 0.61513470
1713 0.81555869 0.61571826
1714 0.81555869 0.61571826
1715 0.81555869 0.61571826
1716 0.80792200 0.61445926
1717 0.81243496 0.60944212
1718 0.81790720 0.60322276
1719 0.82536183 0.60370583
1720 0.81822554 0.59809383
1721 0.81809881 0.58936689
1722 0.81353765 0.59031779
1723 0.81010091 0.59085952
1724 0.81010091 0.59085952
1725 0.80975578 0.59459979
1726 0.80520100 0.59042509
1727 0.80520100 0.59042509
1728 0.81514400 0.59144513
1729 0.81894669 0.59065540
1730 0.81233376 0.59617765
1731 0.80696895 0.59739201
1732 0.81382571 0.59209624
1733 0.80823578 0.60121212
1734 0.79855973 0.60911706
1735 0.80759229 0.61829103
1736 0.80262365 0.62696484
1737 0.80262365 0.62696484
1738 0.79551021 0.62674271
1739 0.79551021 0.62674271
1740 0.80150643 0.61793969
1741 0.79676467 0.60982862
1742 0.79583225 0.61072206
1743 0.79233172 0.61278345
1744 0.79869577 0.60616627
1745 0.80776688 0.61299154
1746 0.80530813 0.60348358
1747 0.80240890 0.60667332
1748 0.80240890 0.60667332
1749 0.80240890 0.60667332
1750 0.79535787 0.60654653
1751 0.79789446 0.60198770
1752 0.79140138 0.60700309
1753 0.79413337 0.59746890
1754 0.79413337 0.59746890
1755 0.79413337 0.59746890
1756 0.79413337 0.59746890
1757 0.78587634 0.60302363
1758 0.78265177 0.60547416
1759 0.78265177 0.60547416
1760 0.79045747 0.60650288
1761 0.79569047 0.60762305
1762 0.79653254 0.60577397
1763 0.80164899 0.61283752
1764 0.79865058 0.60517424
1765 0.79815906 0.61053580
1766 0.79815906 0.61053580
1767 0.78893101 0.61280793
1768 0.78038234 0.60427382
1769 0.78182855 0.61113690
1770 0.78329747 0.60724411
1771 0.78485547 0.60850603
1772 0.79082887 0.60977173
1773 0.79082887 0.60977173
1774 0.79137677 0.60840328
1775 0.79932987 0.61665308
1776 0.79712689 0.61984348
1777 0.79712689 0.61984348
1778 0.79712689 0.61984348
1779 0.79614037 0.61351695
1780 0.80138883 0.61000827
1781 0.80191696 0.60972892
1782 0.80362427 0.59980107
1783 0.79803834 0.59956764
1784 0.79121792 0.59033414
1785 0.78696283 0.59968944
1786 0.79476169 0.60163532
1787 0.79476169 0.60163532
1788 0.79086660 0.60445531
1789 0.78119617 0.60555718
1790 0.78987012 0.59746773
1791 0.79058441 0.59910952
1792 0.79058441 0.59910952
1793 0.79058441 0.59910952
1794 0.79058441 0.59910952
1795 0.78774660 0.59006385
1796 0.78092443 0.58586524
1797 0.78422008 0.58581316
1798 0.78060019 0.58356263
1799 0.78060019 0.58356263
1800 0.78060019 0.58356263
1801 0.78060019 0.58356263
1802 0.78699530 0.59076273
1803 0.77732247 0.59811965
1804 0.77663092 0.60004078
1805 0.76812439 0.60669281
1806 0.77210374 0.60625825
1807 0.76537685 0.60683124
1808 0.76053771 0.60524703
1809 0.75677659 0.61456136
1810 0.75208592 0.60688787
1811 0.75754877 0.61477062
1812 0.75820696 0.60582182
1813 0.75801727 0.60426726
1814 0.75801727 0.60426726
1815 0.76590143 0.59525383
1816 0.76590143 0.59525383
1817 0.76012056 0.59848398
1818 0.75803461 0.60757910
1819 0.75447733 0.60441242
1820 0.74687596 0.59643667
1821 0.74044835 0.60587650
1822 0.74637634 0.61361523
1823 0.74756675 0.61557890
1824 0.74939790 0.61084987
1825 0.74048309 0.61429837
1826 0.74860770 0.61541411
1827 0.75851304 0.61989795
1828 0.75454393 0.61588356
1829 0.75688989 0.60623035
1830 0.76274740 0.61316193
1831 0.76274740 0.61316193
1832 0.75372248 0.60627603
1833 0.75479115 0.59856819
1834 0.75479115 0.59856819
1835 0.75479115 0.59856819
1836 0.76367136 0.60078536
1837 0.75851025 0.60633408
1838 0.75120185 0.60496005
1839 0.75120185 0.60496005
1840 0.74718104 0.60521252
1841 0.75626141 0.61449945
1842 0.76056215 0.60566996
1843 0.76354113 0.59966364
1844 0.75809450 0.60707918
1845 0.76764192 0.61614215
1846 0.76142895 0.60659487
1847 0.76142895 0.60659487
1848 0.76576482 0.61437038
1849 0.75789108 0.60465317
1850 0.76341892 0.59759523
1851 0.76341892 0.59759523
1852 0.76355807 0.59954141
1853 0.76532784 0.60309960
1854 0.76532784 0.60309960
1855 0.76532784 0.60309960
1856 0.76532784 0.60309960
1857 0.76532784 0.60309960
1858 0.76590511 0.59903553
1859 0.77061877 0.60230668
1860 0.76229275 0.59769120
1861 0.77212670 0.59564014
1862 0.78144020 0.59130020
1863 0.78637891 0.59740001
1864 0.78637891 0.59740001
1865 0.78637891 0.59740001
1866 0.78637891 0.59740001
1867 0.78079046 0.60731859
1868 0.77467759 0.61601218
1869 0.76654245 0.61522414
1870 0.77437808 0.61408520
1871 0.77580776 0.60506420
1872 0.77435353 0.59533775
1873 0.77974425 0.59942379
1874 0.77559891 0.60714607
1875 0.78473249 0.61469933
1876 0.78821460 0.61637678
1877 0.78735575 0.61931128
1878 0.78337172 0.61759976
1879 0.78837499 0.61514392
1880 0.78721142 0.61059542
1881 0.79422227 0.61930322
1882 0.79971027 0.61928059
1883 0.80610502 0.60937287
1884 0.80330813 0.60126095
1885 0.79637796 0.60598341
1886 0.79253424 0.60795207
1887 0.78605278 0.61286150
1888 0.78878116 0.61657397
1889 0.78878116 0.61657397
1890 0.78878116 0.61657397
1891 0.78568597 0.62222128
1892 0.78236322 0.62717423
1893 0.78239573 0.62813749
1894 0.77612760 0.62339282
1895 0.77900206 0.61370140
1896 0.78144996 0.62203609
1897 0.78769708 0.63171243
1898 0.78788174 0.63605529
1899 0.78857578 0.62682250
1900 0.79009177 0.62315182
1901 0.78192598 0.62570711
1902 0.78251551 0.61978551
1903 0.79242791 0.62228735
1904 0.78889220 0.61306706
1905 0.77891990 0.62014960
1906 0.77781989 0.61486968
1907 0.78277798 0.60652357
1908 0.78317895 0.60730402
1909 0.78239074 0.61638754
1910 0.77890967 0.61838390
1911 0.77255702 0.62425046
1912 0.77292759 0.61658055
1913 0.77798264 0.61959960
1914 0.78702985 0.62677392
1915 0.78919317 0.62055995
1916 0.78606495 0.61896788
1917 0.78606495 0.61896788
1918 0.78540781 0.61109098
1919 0.78020245 0.61181785
1920 0.78794647 0.60673609
1921 0.78794647 0.60673609
1922 0.78487584 0.61528027
1923 0.77874355 0.62459465
1924 0.78101897 0.61945805
1925 0.77148650 0.62849272
1926 0.77683764 0.63259379
