#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152   -0.399512   -0.380596  0.00300441
         153   -0.363836   -0.380486  0.00298677
         154   -0.335894   -0.380197  0.00298138
         155      -0.331   -0.379879  0.00297899
         156   -0.346944   -0.379668  0.00296737
         157   -0.358741   -0.379535  0.00295146
         158   -0.353493    -0.37937  0.00293738
         159   -0.370748   -0.379316   0.0029194
         160    -0.37732   -0.379303  0.00290118
         161   -0.404962   -0.379463  0.00288754
         162   -0.391097   -0.379534  0.00287061
         163   -0.351991   -0.379365  0.00285796
         164   -0.349297   -0.379182  0.00284641
         165   -0.327406   -0.378868  0.00284641
         166   -0.315304   -0.378485   0.0028549
         167   -0.301538   -0.378025  0.00287475
         168   -0.310412   -0.377622  0.00288567
         169   -0.328911   -0.377334  0.00288295
         170   -0.335599   -0.377088  0.00287643
         171   -0.333001   -0.376831  0.00287114
         172   -0.340645    -0.37662  0.00286214
         173   -0.314965   -0.376264   0.0028677
         174   -0.362705   -0.376186  0.00285228
         175   -0.363409   -0.376113  0.00283691
         176   -0.367843   -0.376066  0.00282118
         177     -0.3878   -0.376132  0.00280602
         178   -0.450017   -0.376547  0.00282079
         179   -0.432211   -0.376858  0.00282212
         180   -0.395589   -0.376962  0.00280836
         181    -0.39128   -0.377041  0.00279396
         182   -0.439825   -0.377386  0.00279983
         183   -0.452815   -0.377799   0.0028147
         184   -0.407474    -0.37796  0.00280402
         185   -0.383612    -0.37799  0.00278903
         186   -0.398658   -0.378102  0.00277625
         187   -0.385826   -0.378143  0.00276171
         188   -0.366086   -0.378079  0.00274776
         189   -0.343656   -0.377897  0.00273926
         190    -0.33708   -0.377682  0.00273325
         191    -0.34176   -0.377494   0.0027254
         192   -0.395961    -0.37759   0.0027129
         193   -0.405393   -0.377734  0.00270267
         194   -0.399542   -0.377846  0.00269107
         195   -0.388397     -0.3779  0.00267782
         196   -0.376475   -0.377893  0.00266417
         197   -0.366153   -0.377834  0.00265131
         198   -0.368399   -0.377786  0.00263835
         199   -0.359505   -0.377694  0.00262669
         200   -0.375993   -0.377686  0.00261357
         201   -0.368881   -0.377642  0.00260093
         202   -0.346374   -0.377487  0.00259266
         203   -0.338681   -0.377296  0.00258692
         204   -0.353683    -0.37718  0.00257683
         205   -0.371482   -0.377152  0.00256441
         206   -0.378889   -0.377161  0.00255198
         207   -0.399813    -0.37727  0.00254199
         208   -0.385988   -0.377312  0.00253012
         209   -0.348875   -0.377176  0.00252167
         210   -0.330499   -0.376954  0.00251944
         211   -0.350147   -0.376827   0.0025107
         212   -0.368026   -0.376785   0.0024992
         213   -0.342811   -0.376626  0.00249255
         214    -0.31836   -0.376353  0.00249573
         215   -0.294791   -0.375974  0.00251279
         216   -0.301957   -0.375631  0.00252441
         217   -0.356799   -0.375545  0.00251427
         218   -0.389158   -0.375607  0.00250351
         219   -0.401531   -0.375725  0.00249488
         220   -0.384388   -0.375765  0.00248385
         221   -0.386775   -0.375815  0.00247311
         222   -0.353253   -0.375713  0.00246405
         223   -0.370302   -0.375689  0.00245312
         224   -0.380829   -0.375712  0.00244228
         225   -0.383349   -0.375746  0.00243166
         226   -0.386684   -0.375794  0.00242138
         227   -0.405811   -0.375926  0.00241432
         228    -0.41063   -0.376078  0.00240853
         229   -0.420073   -0.376271  0.00240566
         230    -0.39536   -0.376354  0.00239663
         231   -0.394586   -0.376432  0.00238756
         232   -0.394274   -0.376509   0.0023785
         233   -0.394871   -0.376588   0.0023696
         234   -0.386248   -0.376629  0.00235983
         235   -0.381721   -0.376651  0.00234989
         236   -0.389049   -0.376704  0.00234052
         237   -0.394321   -0.376778  0.00233183
         238   -0.384111   -0.376809  0.00232223
         239   -0.382484   -0.376833  0.00231264
         240   -0.388957   -0.376883  0.00230355
         241    -0.38956   -0.376936  0.00229459
         242   -0.389653   -0.376988  0.00228571
         243   -0.383633   -0.377016  0.00227647
         244   -0.403485   -0.377124  0.00226973
         245   -0.431696   -0.377347  0.00227136
         246   -0.424856    -0.37754  0.00227033
         247   -0.415544   -0.377694  0.00226634
         248   -0.416991   -0.377852  0.00226274
         249   -0.413151   -0.377994  0.00225809
         250   -0.388178   -0.378035  0.00224942
         251   -0.422146    -0.37821  0.00224731
         252   -0.446789   -0.378483  0.00225481
         253   -0.447737   -0.378756  0.00226246
         254   -0.441414   -0.379003  0.00226696
         255   -0.435156   -0.379223  0.00226874
         256   -0.431978   -0.379429  0.00226921
         257   -0.435186   -0.379646  0.00227073
         258   -0.408736   -0.379759  0.00226473
         259   -0.396186   -0.379822  0.00225687
         260   -0.383536   -0.379837  0.00224824
         261   -0.365226   -0.379781  0.00224032
         262   -0.381539   -0.379787  0.00223178
         263   -0.380903   -0.379792   0.0022233
         264   -0.360198   -0.379717  0.00221611
         265   -0.368384   -0.379675  0.00220816
         266   -0.431759    -0.37987  0.00220853
         267    -0.44677   -0.380121  0.00221442
         268    -0.45059   -0.380384  0.00222172
