#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.27562     1.27562           0
           2     1.28023     1.27792  0.00162923
           3      1.3039     1.28658  0.00715264
           4     1.32811     1.29697   0.0104705
           5      1.3333     1.30423   0.0106019
           6     1.34357     1.31079   0.0106712
           7     1.33795     1.31467  0.00982703
           8      1.3292     1.31649  0.00876496
           9     1.31449     1.31626  0.00779387
          10     1.30303     1.31494  0.00712598
          11     1.30046     1.31362  0.00659863
          12     1.31932      1.3141  0.00606576
          13     1.31651     1.31428  0.00560201
          14      1.3169     1.31447  0.00520498
          15     1.31767     1.31468  0.00486236
          16     1.31019      1.3144  0.00456657
          17     1.29783     1.31343  0.00440083
          18      1.3055     1.31299  0.00417831
          19     1.29597     1.31209  0.00405332
          20     1.31444     1.31221  0.00385236
          21     1.33717      1.3134  0.00384785
          22     1.34645      1.3149  0.00395546
          23     1.34307     1.31613  0.00396856
          24     1.34923     1.31751  0.00403585
          25     1.36284     1.31932  0.00426232
          26     1.34502     1.32031  0.00421148
          27     1.32917     1.32064  0.00406827
          28     1.30785     1.32018  0.00394854
          29     1.32107     1.32021   0.0038125
          30     1.32733     1.32045   0.0036928
          31     1.34202     1.32114  0.00363865
          32     1.35659     1.32225  0.00368972
          33     1.34701       1.323   0.0036534
          34     1.32401     1.32303  0.00354607
          35     1.31767     1.32288  0.00344806
          36     1.32643     1.32298   0.0033537
          37     1.32198     1.32295  0.00326317
          38     1.31547     1.32275  0.00318322
          39     1.31442     1.32254  0.00310876
          40      1.3193     1.32246   0.0030321
          41     1.31997      1.3224  0.00295875
          42     1.31864     1.32231  0.00288966
          43     1.30269     1.32185  0.00285824
          44     1.29619     1.32127  0.00285217
          45     1.30368     1.32088  0.00281544
          46     1.31048     1.32065  0.00276329
          47     1.30069     1.32023  0.00273695
          48     1.28168     1.31942  0.00279528
          49     1.27273     1.31847  0.00289614
          50     1.28515      1.3178  0.00291386
          51     1.28222     1.31711  0.00293908
          52     1.27123     1.31622  0.00301208
          53     1.26997     1.31535  0.00307906
          54     1.28256     1.31474  0.00308135
          55     1.29972     1.31447  0.00303741
          56     1.30387     1.31428  0.00298906
          57     1.31746     1.31434  0.00293714
          58     1.32199     1.31447  0.00288947
          59     1.32521     1.31465  0.00284622
          60     1.31686     1.31469  0.00279902
          61     1.29882     1.31443   0.0027652
          62     1.27999     1.31387  0.00277584
          63     1.29257     1.31353  0.00275229
          64     1.31939     1.31363  0.00271081
          65     1.33728     1.31399  0.00269342
          66      1.3482     1.31451  0.00270203
          67     1.35617     1.31513   0.0027323
          68     1.34254     1.31553  0.00272169
          69     1.32193     1.31563  0.00268382
          70     1.29211     1.31529  0.00266643
          71     1.30231     1.31511  0.00263513
          72     1.30008      1.3149  0.00260679
          73      1.3198     1.31497  0.00257194
          74     1.33556     1.31524   0.0025522
          75     1.34414     1.31563  0.00254709
          76     1.33622      1.3159  0.00252794
          77     1.34092     1.31622  0.00251592
          78     1.31262     1.31618  0.00248408
          79      1.3025     1.31601  0.00245866
          80      1.3207     1.31606  0.00242863
          81       1.335      1.3163  0.00240987
          82      1.3357     1.31653  0.00239208
          83     1.30781     1.31643  0.00236556
          84      1.2899     1.31611  0.00235839
          85     1.27502     1.31563  0.00237968
          86     1.27907      1.3152  0.00238968
          87     1.27236     1.31471  0.00241244
          88     1.27116     1.31422  0.00243525
          89     1.26724     1.31369  0.00246443
          90     1.27556     1.31327   0.0024732
          91     1.26935     1.31278  0.00249266
          92     1.27818     1.31241  0.00249378
          93     1.29776     1.31225  0.00247193
          94     1.32915     1.31243  0.00245216
          95     1.32766     1.31259  0.00243159
          96     1.33822     1.31286  0.00242087
          97     1.33523     1.31309  0.00240688
          98     1.32812     1.31324  0.00238721
          99     1.31075     1.31322  0.00236323
         100      1.3073     1.31316  0.00234033
         101     1.30438     1.31307  0.00231878
         102     1.28399     1.31278   0.0023135
         103     1.29269     1.31259  0.00229925
         104     1.30522     1.31252  0.00227823
         105     1.30629     1.31246  0.00225731
         106     1.31818     1.31251  0.00223666
         107     1.31518     1.31254   0.0022159
         108     1.32793     1.31268  0.00219996
         109     1.34737       1.313  0.00220267
         110     1.36008     1.31343  0.00222384
         111      1.3573     1.31382  0.00223864
         112     1.37795     1.31439  0.00229071
         113     1.36778     1.31487  0.00231864
         114     1.37631     1.31541   0.0023601
         115     1.37123     1.31589  0.00238898
         116     1.35588     1.31624  0.00239313
         117     1.34786     1.31651  0.00238789
         118     1.31948     1.31653  0.00236779
         119     1.29886     1.31638  0.00235254
         120     1.30762     1.31631  0.00233407
         121     1.30693     1.31623  0.00231607
         122     1.30541     1.31614  0.00229878
         123     1.31231     1.31611   0.0022803
         124     1.32137     1.31616  0.00226231
         125     1.32641     1.31624   0.0022457
         126     1.35351     1.31653  0.00224728
         127     1.37062     1.31696  0.00226958
         128     1.36076      1.3173   0.0022775
         129      1.3355     1.31744  0.00226421
         130     1.32969     1.31754  0.00224876
         131     1.31036     1.31748  0.00223226
         132     1.29005     1.31727    0.002225
         133     1.28359     1.31702  0.00222264
         134     1.29942     1.31689  0.00220993
         135     1.29838     1.31675   0.0021978
         136     1.30751     1.31668  0.00218269
         137     1.32219     1.31672  0.00216713
         138     1.33325     1.31684  0.00215473
         139     1.34135     1.31702  0.00214643
         140     1.33165     1.31713  0.00213364
         141     1.34285     1.31731   0.0021263
         142     1.33869     1.31746  0.00211665
         143     1.33122     1.31755  0.00210403
