#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
         162  0.00036096   0.0978844  0.00987336
         163-1.15143e-15   0.0972839  0.00983103
         164  0.00152256   0.0985475  0.00985196
         165   6.336e-05   0.0980271  0.00980599
         166   6.336e-05   0.0975129  0.00976038
         167   6.336e-05   0.0970048  0.00971515
         168    0.000304   0.0967893  0.00965971
         169   6.336e-05   0.0962916  0.00961537
         170  0.00052416   0.0963418  0.00955894
         171  0.00024576   0.0960659  0.00950702
         172-1.15143e-15   0.0955073  0.00946814
         173  0.00012544   0.0951003  0.00942216
         174  0.00062656   0.0952739  0.00936961
         175    0.001456   0.0963935  0.00938272
         176           0   0.0958458  0.00934538
         177           0   0.0953043  0.00930825
         178           0   0.0947689  0.00927135
         179           0   0.0942395  0.00923466
         180  0.00012544   0.0938553  0.00919134
         181  0.00012544   0.0934754  0.00914841
         182      0.0012   0.0942804   0.0091335
         183  0.00067584   0.0945039  0.00908632
         184  0.00116736   0.0952591  0.00906827
         185  0.00131776   0.0961688  0.00906477
         186           0   0.0956518  0.00903077
         187  0.00097984   0.0961882  0.00899839
         188  0.00144576   0.0972146  0.00900888
         189    0.001024   0.0977839  0.00897918
         190  0.00012544   0.0974013  0.00894007
         191  0.00041664   0.0973276  0.00889356
         192           0   0.0968207  0.00886168
         193           0    0.096319  0.00882995
         194           0   0.0958225  0.00879838
         195   6.336e-05   0.0953961  0.00876359
         196    0.001536   0.0964767  0.00878525
         197   6.336e-05   0.0960513  0.00875095
         198  0.00147456   0.0970557   0.0087642
         199    0.001472   0.0980474  0.00877608
         200           0   0.0975571  0.00874588
         201           0   0.0970718  0.00871583
         202           0   0.0965912  0.00868592
         203    0.001024   0.0971243  0.00865947
         204-1.15143e-15   0.0966482   0.0086301
         205   6.336e-05   0.0962385  0.00859772
         206  0.00149184   0.0972197  0.00861179
         207           0   0.0967501  0.00858299
         208  0.00052416   0.0967889  0.00854181
         209  0.00194304   0.0981852   0.0086143
         210     0.00184     0.09947  0.00866857
         211   6.336e-05   0.0990587  0.00863724
         212  0.00018624   0.0987671  0.00860142
         213    0.001712   0.0999109  0.00863675
         214   6.336e-05   0.0995033  0.00860601
         215           0   0.0990404  0.00857842
         216           0   0.0985819  0.00855095
         217           0   0.0981276   0.0085236
         218   6.336e-05   0.0977356  0.00849351
