#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1      -0.956      -0.956           0
           2      -0.972      -0.964  0.00565685
           3     -0.9096   -0.945867   0.0152785
           4       -0.92     -0.9394   0.0127542
           5       -0.92    -0.93552   0.0107774
           6     -0.9208   -0.933067  0.00925619
           7          -1   -0.942629   0.0118876
           8     -0.9288     -0.9409   0.0105266
           9     -0.9184     -0.9384  0.00964926
          10     -0.9608    -0.94064  0.00894055
          11          -1   -0.946036  0.00961946
          12     -0.9976   -0.950333  0.00973035
          13     -0.9992   -0.954092  0.00968074
          14     -0.9448   -0.953429  0.00901198
          15     -0.9864   -0.955627  0.00867511
          16     -0.9992    -0.95835   0.0085497
          17     -0.9936   -0.960424  0.00829441
          18     -0.9992   -0.962578  0.00810854
          19          -1   -0.964547  0.00791737
          20     -0.9928    -0.96596  0.00764648
          21      -0.984   -0.966819  0.00733046
          22     -0.9992   -0.968291   0.0071435
          23          -1    -0.96967  0.00696468
          24     -0.9992     -0.9709   0.0067823
          25     -0.9992   -0.972032   0.0066048
          26     -0.9976   -0.973015  0.00642356
          27          -1   -0.974015  0.00626292
          28     -0.9984   -0.974886  0.00609949
          29     -0.9528   -0.974124  0.00593652
          30     -0.9832   -0.974427  0.00574634
          31          -1   -0.975252  0.00561988
          32     -0.9784    -0.97535  0.00544512
          33     -0.9992   -0.976073  0.00532786
          34     -0.9952   -0.976635  0.00520077
          35     -0.9856   -0.976891  0.00505848
          36          -1   -0.977533  0.00495853
          37          -1   -0.978141  0.00486155
          38     -0.9992   -0.978695   0.0047651
          39     -0.9976   -0.979179  0.00466751
          40     -0.9784    -0.97916  0.00455086
          41       -0.98    -0.97918  0.00443991
          42     -0.9968     -0.9796  0.00435397
          43     -0.9992   -0.980056  0.00427651
          44      -0.996   -0.980418  0.00419464
          45     -0.9984   -0.980818  0.00412042
          46     -0.9992   -0.981217  0.00405018
          47     -0.9992     -0.9816  0.00398203
          48     -0.9856   -0.981683  0.00389995
          49     -0.9768   -0.981584  0.00382163
          50     -0.9432   -0.980816  0.00382152
          51          -1   -0.981192  0.00376506
          52     -0.9952   -0.981462  0.00370228
          53     -0.9384   -0.980649  0.00372051
          54     -0.9184   -0.979496  0.00382603
          55     -0.9504   -0.978967  0.00379286
          56          -1   -0.979343  0.00374368
          57     -0.9936   -0.979593  0.00368635
          58     -0.9936   -0.979834  0.00363069
          59          -1   -0.980176  0.00358521
          60     -0.9992   -0.980493  0.00353945
          61      -0.972   -0.980354  0.00348416
          62     -0.9968   -0.980619  0.00343805
          63          -1   -0.980927  0.00339721
          64     -0.9984     -0.9812  0.00335508
          65      -0.996   -0.981428  0.00331118
          66     -0.9848   -0.981479  0.00326141
          67          -1   -0.981755  0.00322442
          68          -1   -0.982024  0.00318815
          69     -0.9448   -0.981484  0.00318726
          70          -1   -0.981749  0.00315268
          71     -0.9912   -0.981882  0.00311109
          72     -0.9976     -0.9821  0.00307553
          73     -0.9888   -0.982192  0.00303477
          74     -0.9968   -0.982389  0.00300017
          75      -0.992   -0.982517   0.0029629
          76          -1   -0.982747  0.00293283
          77     -0.9968    -0.98293  0.00290042
          78     -0.9992   -0.983138  0.00287072
          79      -0.996   -0.983301    0.002839
          80          -1    -0.98351  0.00281117
