#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         185      95.968     84.7804     2.05322
         186         100     84.8623     2.04381
         187     97.6912     84.9309     2.03403
         188     94.5952     84.9823     2.02386
         189      95.624     85.0386     2.01394
         190     99.8432     85.1165     2.00485
         191     98.6464     85.1873      1.9956
         192         100     85.2645      1.9867
         193         100     85.3408     1.97787
         194         100     85.4164     1.96912
         195     99.9216     85.4908     1.96042
         196      61.608     85.3689      1.9542
         197     19.0784     85.0324     1.97304
         198     39.8576     84.8043     1.97623
         199     40.4368     84.5813     1.97883
         200         100     84.6584     1.97044
         201         100     84.7348     1.96211
         202         100     84.8103     1.95386
         203     91.6624     84.8441     1.94452
         204     30.0752     84.5756     1.95344
         205     29.2896     84.3059     1.96243
         206     63.5488     84.2051     1.95549
         207         100     84.2815     1.94753
         208     98.7744     84.3511     1.93942
         209     70.0256     84.2826     1.93135
         210     67.4576     84.2025     1.92381
         211     99.9216      84.277     1.91614
         212     99.6896     84.3497     1.90848
         213      63.672     84.2526     1.90199
         214     99.9216     84.3258     1.89451
         215         100     84.3987      1.8871
         216         100     84.4709     1.87974
         217         100     84.5425     1.87244
         218     99.9216      84.613     1.86518
         219     94.8464     84.6598     1.85725
         220     99.7648     84.7284     1.85008
         221         100     84.7975     1.84299
         222     74.3088     84.7503      1.8353
         223     10.5296     84.4175       1.857
         224     41.4576     84.2257     1.85859
         225     64.7792     84.1392     1.85234
         226     99.8464     84.2088     1.84544
         227      66.056     84.1288     1.83905
         228     10.1744     83.8044     1.85936
         229       30.44     83.5714     1.86579
         230     64.6128      83.489      1.8595
         231      70.344     83.4321     1.85232
         232     80.6672     83.4201     1.84437
         233     99.2256      83.488      1.8377
         234     99.8432     83.5579     1.83118
         235     98.8064     83.6228     1.82454
         236     98.8464     83.6873     1.81795
         237     94.2736     83.7319     1.81082
         238     99.8432     83.7996     1.80448
         239     98.1088     83.8595     1.79792
         240     87.0816     83.8729     1.79048
         241      5.5104     83.5478     1.81234
         242       5.792     83.2265     1.83311
         243      5.7296     82.9075      1.8531
         244      3.3632     82.5815     1.87396
         245     32.5136     82.3772     1.87742
