#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         175      -0.812    0.721506   0.0416432
         176          -1    0.711725   0.0425398
         177          -1    0.702054   0.0433848
         178          -1    0.692492   0.0441822
         179          -1    0.683037   0.0449358
         180     -0.9984    0.673696   0.0456467
         181     -0.9988    0.664455   0.0463204
         182     -0.9676    0.655488   0.0469258
         183      -0.988    0.646507    0.047521
         184     -0.9688    0.637728   0.0480668
         185     -0.9784    0.628992   0.0485943
         186          -1    0.620234    0.049116
         187     -0.9876    0.611636   0.0496002
         188     -0.9712    0.603217   0.0500458
         189     -0.9764    0.594859   0.0504741
         190     -0.9992    0.586469   0.0509009
         191     -0.9928    0.578201   0.0513016
         192          -1    0.569981   0.0516887
         193          -1    0.561847   0.0520571
         194          -1    0.553796   0.0524076
         195     -0.9996     0.54583   0.0527408
         196     -0.7348    0.539296   0.0528749
         197     -0.3808    0.534625   0.0528123
         198      -0.594    0.528925   0.0528523
         199      -0.514    0.523684   0.0528459
         200          -1    0.516066    0.053128
         201          -1    0.508523   0.0533964
         202          -1    0.501055   0.0536518
         203     -0.9516      0.4939   0.0538626
         204     -0.5292    0.488884   0.0538315
         205     -0.4952    0.484084   0.0537825
         206     -0.7536    0.478076    0.053856
         207          -1    0.470935   0.0540671
         208     -0.9936    0.463894   0.0542637
         209     -0.7752    0.457966    0.054327
         210     -0.7676     0.45213   0.0543809
         211     -0.9996    0.445249   0.0545566
         212     -0.9984     0.43844   0.0547226
         213      -0.774    0.432747    0.054761
         214     -0.9996    0.426054   0.0549126
         215          -1    0.419421   0.0550563
         216          -1     0.41285   0.0551922
         217          -1    0.406339   0.0553205
         218     -0.9996     0.39989   0.0554414
         219     -0.9716    0.393627   0.0555409
         220     -0.9988    0.387298   0.0556478
         221          -1    0.381021    0.055749
         222     -0.8084    0.375663   0.0557547
         223      -0.102    0.373521   0.0555458
         224      0.6364    0.374695   0.0553103
         225       0.766    0.376434   0.0550918
         226      0.9992    0.379189   0.0549169
         227      0.7668    0.380897   0.0547015
         228      0.1388    0.379835   0.0544719
         229      0.4716    0.380236   0.0542355
         230        0.79    0.382017   0.0540289
         231      0.8188    0.383908   0.0538281
         232      0.8924      0.3861   0.0536407
         233       0.996    0.388718   0.0534743
         234      0.9992    0.391326   0.0533094
         235      0.9936    0.393889   0.0531441
         236       0.994    0.396432   0.0529797
         237      0.9684    0.398846   0.0528111
         238      0.9992    0.401368   0.0526494
         239      0.9896    0.403829   0.0524866
         240      0.9176     0.40597   0.0523116
         241       0.184    0.405049   0.0521026
         242     -0.1256    0.402856   0.0519334
         243     -0.1708    0.400495   0.0517734
         244      0.0512    0.399064    0.051581
         245     -0.4852    0.395455   0.0514965
         246       -0.91    0.390148   0.0515599
         247     -0.9976     0.38453   0.0516564
         248     -0.9988    0.378952   0.0517484
         249          -1    0.373414    0.051836
         250     -0.9992    0.367923   0.0519186
         251     -0.9996    0.362475   0.0519969
         252     -0.9536    0.357252   0.0520521
         253     -0.9976    0.351897   0.0521212
         254     -0.8984    0.346975   0.0521479
         255          -1    0.341693   0.0522102
         256          -1    0.336452   0.0522687
         257      -0.722    0.332333   0.0522273
         258      0.2272    0.331926   0.0520264
         259      0.7116    0.333392   0.0518462
         260      0.8428    0.335351   0.0516838
         261      0.8684    0.337393   0.0515261
         262      0.9708    0.339811   0.0513862
         263      0.9852    0.342265   0.0512493
         264           1    0.344756   0.0511157
         265           1    0.347229   0.0509826
         266      0.9988    0.349678   0.0508497
         267       0.832    0.351485   0.0506914
         268      0.9324    0.353652   0.0505486
         269      0.9532    0.355881   0.0504098
         270           1    0.358267   0.0502795
         271      0.9852     0.36058   0.0501471
         272      0.9988    0.362926   0.0500176
         273           1     0.36526   0.0498888
         274      0.9816    0.367509   0.0497574
         275           1    0.369809   0.0496296
